free_flow_speed_kmh,weekend,time_period,travel_time_category,speed_kmh,rush_hours,hour,congestion_level,travel_time_per_10_km_min
22.6,0,morning,heavy,17.9,0,6,25.8,33.3
22.0,0,morning,heavy,13.4,1,7,64.1,44.6
21.6,0,morning,heavy,11.8,1,8,82.2,50.5
21.3,0,morning,heavy,10.3,1,9,105.2,57.7
21.1,0,morning,heavy,9.8,1,10,116.2,61.2
21.2,0,morning,heavy,10.3,1,11,105.6,58.0
21.0,0,afternoon,heavy,10.5,1,12,100.4,57.1
21.0,0,afternoon,heavy,10.4,1,13,100.6,57.1
21.4,0,afternoon,heavy,11.7,1,14,82.7,51.2
21.1,0,afternoon,heavy,11.4,1,15,85.3,52.5
21.2,0,afternoon,heavy,11.8,1,16,79.0,50.5
21.1,0,evening,heavy,11.9,1,17,77.7,50.3
21.3,0,evening,heavy,12.2,1,18,74.2,48.9
21.1,0,evening,heavy,13.6,1,19,54.7,43.8
21.4,0,evening,heavy,15.4,0,20,38.1,38.7
21.4,0,night,heavy,16.3,0,21,31.0,36.6
21.4,0,night,heavy,16.2,0,22,31.3,36.8
21.4,0,night,heavy,17.3,0,23,23.4,34.5
21.4,0,late night,heavy,19.5,0,0,9.5,30.6
21.3,0,late night,heavy,20.4,0,1,4.3,29.3
21.3,0,late night,heavy,21.4,0,2,0.0,27.9
22.0,0,late night,heavy,22.6,0,3,0.0,26.4
22.0,0,late night,heavy,22.7,0,4,0.0,26.3
22.9,0,late night,heavy,22.8,0,5,0.6,26.2
22.3,0,morning,heavy,17.5,0,6,27.3,34.1
21.6,0,morning,heavy,14.1,1,7,52.8,42.4
21.3,0,morning,heavy,10.8,1,8,96.5,55.3
20.9,0,morning,heavy,8.8,1,9,136.7,67.7
21.2,0,morning,heavy,9.7,1,10,118.1,61.6
21.0,0,morning,heavy,9.9,1,11,112.3,60.4
20.9,0,afternoon,heavy,10.1,1,12,106.3,59.1
21.0,0,afternoon,heavy,10.2,1,13,104.2,58.3
21.1,0,afternoon,heavy,11.3,1,14,86.0,52.6
21.1,0,afternoon,heavy,11.0,1,15,91.6,54.2
21.2,0,afternoon,heavy,11.6,1,16,83.0,51.6
21.2,0,evening,heavy,11.1,1,17,89.8,53.7
21.2,0,evening,heavy,11.2,1,18,89.2,53.5
20.8,0,evening,heavy,12.4,1,19,67.2,48.1
21.0,0,evening,heavy,14.7,0,20,42.1,40.5
21.4,0,night,heavy,15.2,0,21,40.6,39.3
21.3,0,night,heavy,15.6,0,22,36.1,38.3
21.6,0,night,heavy,17.6,0,23,22.7,34.0
20.8,0,late night,heavy,17.7,0,0,17.6,33.8
21.3,0,late night,heavy,20.1,0,1,5.6,29.7
21.3,0,late night,heavy,21.4,0,2,0.0,27.9
21.7,0,late night,heavy,22.6,0,3,0.0,26.4
22.1,0,late night,heavy,22.7,0,4,0.0,26.3
22.8,0,late night,heavy,21.9,0,5,3.7,27.2
22.1,0,morning,heavy,16.5,0,6,33.6,36.1
21.9,0,morning,heavy,14.2,1,7,53.9,42.0
21.5,0,morning,heavy,11.6,1,8,85.1,51.4
20.9,0,morning,heavy,9.8,1,9,112.5,60.8
21.0,0,morning,heavy,9.4,1,10,123.4,63.6
21.0,0,morning,heavy,10.0,1,11,109.2,59.7
20.9,0,afternoon,heavy,9.7,1,12,115.3,61.6
20.8,0,afternoon,heavy,10.0,1,13,106.7,59.5
21.0,0,afternoon,heavy,10.2,1,14,106.3,58.7
21.1,0,afternoon,heavy,10.9,1,15,93.1,54.7
21.1,0,afternoon,heavy,11.4,1,16,85.4,52.6
21.0,0,evening,heavy,11.1,1,17,87.9,53.7
20.8,0,evening,heavy,10.8,1,18,91.6,55.1
20.7,0,evening,heavy,12.5,1,19,65.4,47.8
21.1,0,evening,heavy,14.9,0,20,42.0,40.2
21.4,0,night,heavy,16.2,0,21,32.1,36.9
21.0,0,night,heavy,14.4,0,22,46.0,41.5
21.3,0,night,heavy,15.9,0,23,33.8,37.6
21.2,0,late night,heavy,17.9,0,0,18.1,33.3
20.6,0,late night,heavy,18.4,0,1,11.5,32.4
21.1,0,late night,heavy,21.1,0,2,0.0,28.3
21.7,0,late night,heavy,22.2,0,3,0.0,26.9
22.2,0,late night,heavy,22.8,0,4,0.0,26.2
22.8,0,late night,heavy,23.0,0,5,0.0,26.0
22.7,0,morning,heavy,17.9,0,6,26.6,33.3
21.6,0,morning,heavy,13.9,1,7,56.0,43.1
21.5,0,morning,heavy,11.4,1,8,88.3,52.5
20.8,0,morning,heavy,9.6,1,9,116.3,62.1
20.8,0,morning,heavy,9.6,1,10,116.0,62.2
21.0,0,morning,heavy,10.7,1,11,96.0,55.8
20.5,0,afternoon,heavy,10.3,1,12,98.2,57.8
20.9,0,afternoon,heavy,10.5,1,13,99.0,57.0
20.9,0,afternoon,heavy,11.0,1,14,90.2,54.5
21.0,0,afternoon,heavy,10.9,1,15,92.3,54.8
21.0,0,afternoon,heavy,11.1,1,16,89.0,53.8
20.8,0,evening,heavy,10.4,1,17,98.2,57.1
20.8,0,evening,heavy,10.5,1,18,97.6,56.9
20.7,0,evening,heavy,11.9,1,19,74.6,50.4
20.8,0,evening,heavy,13.2,0,20,57.9,45.3
21.1,0,night,heavy,14.2,0,21,48.3,41.9
21.1,0,night,heavy,13.5,0,22,56.5,44.3
21.2,0,night,heavy,14.9,0,23,42.2,40.1
20.9,0,late night,heavy,15.5,0,0,34.9,38.5
20.6,0,late night,heavy,17.2,0,1,19.2,34.6
21.2,0,late night,heavy,19.6,0,2,7.7,30.4
21.4,0,late night,heavy,21.7,0,3,0.0,27.6
22.0,0,late night,heavy,22.8,0,4,0.0,26.2
22.8,0,late night,heavy,22.5,0,5,1.5,26.6
22.7,0,morning,heavy,18.5,0,6,22.4,32.3
22.1,0,morning,heavy,14.8,1,7,48.9,40.3
21.6,0,morning,heavy,11.6,1,8,86.2,51.5
21.1,0,morning,heavy,10.7,1,9,96.3,55.6
21.4,0,morning,heavy,10.5,1,10,102.1,56.6
21.4,0,morning,heavy,11.8,1,11,81.7,50.8
20.9,0,afternoon,heavy,11.1,1,12,88.1,53.8
21.2,0,afternoon,heavy,11.5,1,13,83.9,51.8
21.4,0,afternoon,heavy,11.9,1,14,79.8,50.3
21.1,0,afternoon,heavy,12.6,1,15,67.4,47.4
21.2,0,afternoon,heavy,12.1,1,16,75.2,49.5
21.3,0,evening,heavy,13.0,1,17,64.2,46.1
21.4,0,evening,heavy,12.2,1,18,75.3,49.0
21.1,0,evening,heavy,13.0,1,19,61.7,45.9
21.3,0,evening,heavy,13.8,0,20,53.7,43.1
21.7,0,night,heavy,15.4,0,21,40.1,38.7
21.4,0,night,heavy,15.2,0,22,40.7,39.3
21.5,0,night,heavy,15.8,0,23,36.0,37.8
21.4,1,late night,heavy,17.1,0,0,25.0,34.9
21.5,1,late night,heavy,18.1,0,1,19.0,33.0
21.6,1,late night,heavy,20.6,0,2,4.6,29.0
21.6,1,late night,heavy,22.1,0,3,0.0,27.1
21.7,1,late night,heavy,22.0,0,4,0.0,27.2
22.2,1,late night,heavy,22.1,0,5,0.3,27.0
22.9,1,morning,heavy,22.6,0,6,1.2,26.4
22.6,1,morning,heavy,20.7,1,7,9.3,28.9
23.0,1,morning,heavy,19.6,1,8,17.5,30.5
22.9,1,morning,heavy,18.5,1,9,23.8,32.4
22.2,1,morning,heavy,15.1,1,10,47.2,39.6
21.9,1,morning,heavy,14.7,1,11,48.7,40.5
21.9,1,afternoon,heavy,14.8,1,12,47.5,40.4
21.7,1,afternoon,heavy,14.4,1,13,50.1,41.3
21.3,1,afternoon,heavy,14.4,1,14,48.1,41.5
21.7,1,afternoon,heavy,14.4,1,15,50.2,41.4
21.8,1,afternoon,heavy,14.8,1,16,47.6,40.5
21.7,1,evening,heavy,15.3,1,17,41.8,39.1
21.5,1,evening,heavy,13.5,1,18,59.2,44.3
21.6,1,evening,heavy,14.2,1,19,51.9,42.1
21.4,1,evening,heavy,15.4,0,20,39.3,38.9
21.7,1,night,heavy,16.2,0,21,33.4,36.8
21.4,1,night,heavy,14.9,0,22,43.6,40.2
21.2,1,night,heavy,14.4,0,23,47.7,41.6
21.2,1,late night,heavy,14.6,0,0,44.7,40.9
21.5,1,late night,heavy,17.6,0,1,22.3,34.0
21.7,1,late night,heavy,20.7,0,2,4.9,28.9
21.9,1,late night,heavy,22.0,0,3,0.0,27.2
21.6,1,late night,heavy,22.8,0,4,0.0,26.2
22.3,1,late night,heavy,23.5,0,5,0.0,25.4
22.7,1,morning,heavy,23.6,0,6,0.0,25.4
22.6,1,morning,heavy,22.6,1,7,0.0,26.4
22.6,1,morning,heavy,21.2,1,8,6.4,28.1
23.0,1,morning,heavy,19.6,1,9,17.4,30.5
22.7,1,morning,heavy,18.1,1,10,25.4,33.1
22.3,1,morning,heavy,16.8,1,11,32.7,35.6
22.0,1,afternoon,heavy,15.8,1,12,39.2,37.8
21.9,1,afternoon,heavy,15.6,1,13,40.0,38.3
21.7,1,afternoon,heavy,15.6,1,14,39.4,38.4
21.5,1,afternoon,heavy,14.7,1,15,46.0,40.6
21.8,1,afternoon,heavy,15.8,1,16,37.9,37.7
21.9,1,evening,heavy,16.0,1,17,36.9,37.3
21.7,1,evening,heavy,13.8,1,18,57.2,43.3
21.7,1,evening,heavy,15.0,1,19,44.2,39.7
21.8,1,evening,heavy,15.5,0,20,40.4,38.5
21.9,1,night,heavy,16.4,0,21,33.3,36.4
21.9,1,night,heavy,16.7,0,22,31.6,35.9
21.6,1,night,heavy,16.6,0,23,30.1,36.0
21.7,0,late night,heavy,16.5,0,0,31.6,36.2
21.4,0,late night,heavy,17.9,0,1,19.0,33.3
22.0,0,late night,heavy,21.8,0,2,0.8,27.4
21.4,0,late night,heavy,22.7,0,3,0.0,26.3
21.8,0,late night,heavy,23.4,0,4,0.0,25.6
22.3,0,late night,heavy,23.4,0,5,0.0,25.6
22.9,0,morning,heavy,23.6,0,6,0.0,25.3
23.2,0,morning,heavy,22.6,1,7,2.9,26.5
23.2,0,morning,heavy,21.5,1,8,7.9,27.8
22.6,0,morning,heavy,20.1,1,9,12.6,29.8
23.1,0,morning,heavy,19.3,1,10,19.2,30.9
22.7,0,morning,heavy,18.4,1,11,23.6,32.5
22.6,0,afternoon,heavy,17.5,1,12,28.8,34.1
22.3,0,afternoon,heavy,16.8,1,13,32.7,35.6
22.2,0,afternoon,heavy,16.8,1,14,32.0,35.6
22.7,0,afternoon,heavy,17.2,1,15,31.7,34.7
22.2,0,afternoon,heavy,16.3,1,16,36.3,36.7
22.4,0,evening,heavy,16.8,1,17,33.0,35.5
22.3,0,evening,heavy,16.5,1,18,35.4,36.3
22.0,0,evening,heavy,15.8,1,19,39.7,37.9
21.9,0,evening,heavy,17.5,0,20,25.4,34.2
22.3,0,night,heavy,18.9,0,21,17.9,31.6
22.3,0,night,heavy,19.6,0,22,13.7,30.5
22.0,0,night,heavy,20.3,0,23,8.3,29.5
21.9,0,late night,heavy,21.2,0,0,3.0,28.1
21.7,0,late night,heavy,21.9,0,1,0.0,27.3
21.9,0,late night,heavy,22.8,0,2,0.0,26.2
22.3,0,late night,heavy,23.7,0,3,0.0,25.3
21.9,0,late night,heavy,22.3,0,4,0.0,26.8
22.7,0,late night,heavy,22.6,0,5,0.2,26.4
22.4,0,morning,heavy,17.5,0,6,28.0,34.2
22.2,0,morning,heavy,14.2,1,7,55.9,42.0
21.5,0,morning,heavy,11.1,1,8,94.1,53.9
21.2,0,morning,heavy,10.5,1,9,101.1,56.7
21.4,0,morning,heavy,10.9,1,10,95.4,54.7
21.2,0,morning,heavy,10.1,1,11,108.8,58.8
20.9,0,afternoon,heavy,10.0,1,12,108.3,59.6
21.1,0,afternoon,heavy,10.8,1,13,95.2,55.2
21.3,0,afternoon,heavy,11.2,1,14,89.7,53.3
21.1,0,afternoon,heavy,10.6,1,15,98.3,56.2
21.4,0,afternoon,heavy,11.5,1,16,86.0,52.1
21.3,0,evening,heavy,11.5,1,17,84.4,51.8
21.4,0,evening,heavy,11.6,1,18,84.9,51.6
21.2,0,evening,heavy,13.9,1,19,52.9,43.1
21.0,0,evening,heavy,14.5,0,20,44.0,41.0
21.7,0,night,heavy,16.8,0,21,29.6,35.6
21.3,0,night,heavy,16.4,0,22,29.8,36.5
21.0,0,night,heavy,18.0,0,23,16.5,33.1
21.1,0,late night,heavy,18.9,0,0,11.8,31.7
21.1,0,late night,heavy,20.5,0,1,3.0,29.1
21.2,0,late night,heavy,21.9,0,2,0.0,27.3
22.0,0,late night,heavy,22.5,0,3,0.0,26.6
21.9,0,late night,heavy,22.4,0,4,0.0,26.7
22.4,0,late night,heavy,22.3,0,5,0.3,26.8
22.4,0,morning,heavy,17.9,0,6,25.4,33.5
22.0,0,morning,heavy,13.4,1,7,64.1,44.5
21.4,0,morning,heavy,11.9,1,8,79.1,50.1
21.0,0,morning,heavy,10.1,1,9,106.3,58.8
21.3,0,morning,heavy,10.9,1,10,95.6,55.0
21.4,0,morning,heavy,11.2,1,11,90.9,53.3
21.1,0,afternoon,heavy,11.1,1,12,89.0,53.7
20.9,0,afternoon,heavy,10.7,1,13,94.3,55.7
21.1,0,afternoon,heavy,11.8,1,14,78.4,50.7
21.1,0,afternoon,heavy,11.0,1,15,90.7,54.2
21.2,0,afternoon,heavy,11.0,1,16,92.4,54.2
21.0,0,evening,heavy,11.0,1,17,90.9,54.4
21.1,0,evening,heavy,10.8,1,18,94.8,55.1
20.8,0,evening,heavy,12.4,1,19,67.1,48.1
21.0,0,evening,heavy,14.4,0,20,45.6,41.4
21.5,0,night,heavy,15.5,0,21,38.4,38.5
21.2,0,night,heavy,15.4,0,22,37.4,38.7
21.2,0,night,heavy,17.8,0,23,18.9,33.5
21.1,0,late night,heavy,18.4,0,0,14.9,32.5
21.2,0,late night,heavy,19.9,0,1,6.6,30.1
21.2,0,late night,heavy,20.9,0,2,1.7,28.6
21.7,0,late night,heavy,22.1,0,3,0.0,27.0
21.8,0,late night,heavy,22.6,0,4,0.0,26.5
22.6,0,late night,heavy,22.5,0,5,0.6,26.6
22.4,0,morning,heavy,18.0,0,6,24.3,33.2
22.3,0,morning,heavy,15.2,1,7,46.0,39.2
21.3,0,morning,heavy,11.4,1,8,86.8,52.5
21.2,0,morning,heavy,9.7,1,9,117.5,61.3
21.4,0,morning,heavy,11.1,1,10,92.3,53.8
21.1,0,morning,heavy,9.9,1,11,112.9,60.3
21.0,0,afternoon,heavy,10.4,1,12,101.4,57.4
20.8,0,afternoon,heavy,10.7,1,13,93.9,55.7
21.1,0,afternoon,heavy,11.3,1,14,86.7,52.9
21.1,0,afternoon,heavy,11.3,1,15,86.7,53.0
20.8,0,afternoon,heavy,10.6,1,16,95.4,56.1
21.1,0,evening,heavy,11.2,1,17,87.8,53.2
21.2,0,evening,heavy,10.6,1,18,99.1,56.3
20.9,0,evening,heavy,12.4,1,19,67.8,48.1
20.7,0,evening,heavy,12.5,0,20,64.6,47.6
21.2,0,night,heavy,14.5,0,21,46.0,41.2
21.1,0,night,heavy,14.1,0,22,49.7,42.4
21.0,0,night,heavy,15.4,0,23,35.9,38.8
21.0,0,late night,heavy,16.4,0,0,28.1,36.5
21.1,0,late night,heavy,18.4,0,1,14.4,32.4
21.0,0,late night,heavy,19.7,0,2,6.8,30.4
21.4,0,late night,heavy,21.7,0,3,0.0,27.5
21.6,0,late night,heavy,22.1,0,4,0.0,27.0
22.6,0,late night,heavy,22.8,0,5,0.0,26.2
22.5,0,morning,heavy,19.1,0,6,17.7,31.3
22.1,0,morning,heavy,14.5,1,7,52.2,41.1
21.5,0,morning,heavy,12.7,1,8,68.6,46.9
21.2,0,morning,heavy,11.3,1,9,87.3,52.8
21.6,0,morning,heavy,12.0,1,10,79.5,49.8
21.4,0,morning,heavy,11.2,1,11,90.5,53.3
21.0,0,afternoon,heavy,10.8,1,12,92.7,55.0
21.0,0,afternoon,heavy,11.0,1,13,90.8,54.3
20.9,0,afternoon,heavy,11.8,1,14,76.2,50.5
20.9,0,afternoon,heavy,11.7,1,15,78.8,51.1
21.0,0,afternoon,heavy,11.5,1,16,81.2,51.7
21.0,0,evening,heavy,12.4,1,17,69.6,48.2
21.1,0,evening,heavy,12.4,1,18,70.3,48.2
21.1,0,evening,heavy,13.2,1,19,59.7,45.2
21.1,0,evening,heavy,13.7,0,20,53.8,43.5
21.5,0,night,heavy,16.0,0,21,33.8,37.3
21.3,0,night,heavy,14.8,0,22,44.2,40.4
21.2,0,night,heavy,14.1,0,23,50.1,42.4
21.3,1,late night,heavy,15.6,0,0,36.8,38.4
21.4,1,late night,heavy,16.5,0,1,29.7,36.2
21.6,1,late night,heavy,20.3,0,2,6.1,29.4
21.6,1,late night,heavy,21.5,0,3,0.2,27.8
22.2,1,late night,heavy,22.5,0,4,0.0,26.6
22.7,1,late night,heavy,23.7,0,5,0.0,25.2
23.2,1,morning,heavy,22.6,0,6,2.4,26.4
23.0,1,morning,heavy,20.0,1,7,14.6,29.8
22.6,1,morning,heavy,18.6,1,8,21.4,32.1
22.7,1,morning,heavy,16.5,1,9,37.3,36.2
22.0,1,morning,heavy,14.2,1,10,54.4,42.0
22.0,1,morning,heavy,14.1,1,11,56.1,42.5
21.5,1,afternoon,heavy,14.2,1,12,51.4,42.0
21.6,1,afternoon,heavy,13.3,1,13,62.6,45.0
21.5,1,afternoon,heavy,14.1,1,14,51.8,42.3
21.3,1,afternoon,heavy,14.0,1,15,52.1,42.7
21.5,1,afternoon,heavy,13.7,1,16,56.5,43.5
21.5,1,evening,heavy,14.6,1,17,46.9,40.8
21.2,1,evening,heavy,13.3,1,18,58.8,44.9
21.3,1,evening,heavy,12.6,1,19,69.1,47.5
21.6,1,evening,heavy,14.4,0,20,49.9,41.6
21.4,1,night,heavy,15.0,0,21,42.2,39.8
21.5,1,night,heavy,14.8,0,22,44.4,40.2
21.2,1,night,heavy,15.4,0,23,37.3,38.7
21.6,1,late night,heavy,16.2,0,0,33.2,37.0
21.7,1,late night,heavy,18.4,0,1,17.7,32.5
21.6,1,late night,heavy,20.4,0,2,5.9,29.3
22.0,1,late night,heavy,21.9,0,3,0.6,27.3
22.1,1,late night,heavy,23.2,0,4,0.0,25.8
22.6,1,late night,heavy,23.5,0,5,0.0,25.4
23.2,1,morning,heavy,23.6,0,6,0.0,25.3
22.7,1,morning,heavy,22.1,1,7,2.7,27.1
22.9,1,morning,heavy,21.3,1,8,7.6,28.0
23.0,1,morning,heavy,19.4,1,9,18.4,30.7
22.6,1,morning,heavy,17.6,1,10,28.2,34.0
22.4,1,morning,heavy,16.2,1,11,37.6,36.8
21.8,1,afternoon,heavy,16.5,1,12,32.2,36.2
22.1,1,afternoon,heavy,16.9,1,13,30.4,35.4
22.1,1,afternoon,heavy,15.6,1,14,41.3,38.3
22.0,1,afternoon,heavy,15.7,1,15,40.6,38.2
22.1,1,afternoon,heavy,15.7,1,16,40.1,38.0
21.8,1,evening,heavy,15.8,1,17,37.8,37.8
21.6,1,evening,heavy,13.0,1,18,65.1,45.8
21.8,1,evening,heavy,15.5,1,19,40.3,38.5
21.6,1,evening,heavy,15.4,0,20,39.9,38.7
22.0,1,night,heavy,18.3,0,21,20.0,32.6
22.1,1,night,heavy,18.2,0,22,21.2,32.7
22.2,1,night,heavy,19.5,0,23,14.1,30.7
22.1,0,late night,heavy,20.7,0,0,6.8,28.9
21.7,0,late night,heavy,21.5,0,1,1.2,27.8
22.0,0,late night,heavy,22.1,0,2,0.0,27.0
21.2,0,late night,heavy,22.5,0,3,0.0,26.6
22.1,0,late night,heavy,22.9,0,4,0.0,26.1
22.7,0,late night,heavy,22.3,0,5,1.7,26.7
22.4,0,morning,heavy,17.8,0,6,26.0,33.6
22.1,0,morning,heavy,13.9,1,7,59.1,43.0
21.4,0,morning,heavy,11.6,1,8,84.7,51.6
21.6,0,morning,heavy,10.9,1,9,96.6,54.5
21.6,0,morning,heavy,11.3,1,10,90.2,52.8
21.3,0,morning,heavy,11.2,1,11,89.3,53.1
21.4,0,afternoon,heavy,11.3,1,12,89.5,53.0
21.2,0,afternoon,heavy,10.7,1,13,98.4,56.0
21.3,0,afternoon,heavy,11.6,1,14,82.8,51.4
21.4,0,afternoon,heavy,11.9,1,15,79.8,50.3
21.6,0,afternoon,heavy,13.1,1,16,64.2,45.5
21.5,0,evening,heavy,12.7,1,17,68.8,47.0
21.2,0,evening,heavy,13.3,1,18,59.6,45.0
21.3,0,evening,heavy,15.7,1,19,35.0,37.9
21.2,0,evening,heavy,15.7,0,20,34.7,37.9
21.5,0,night,heavy,17.5,0,21,22.6,34.1
21.5,0,night,heavy,17.7,0,22,21.5,33.7
21.5,0,night,heavy,17.9,0,23,19.7,33.3
21.3,0,late night,heavy,19.5,0,0,9.3,30.7
20.8,0,late night,heavy,19.8,0,1,4.9,30.1
21.2,0,late night,heavy,20.7,0,2,2.5,28.9
21.6,0,late night,heavy,22.3,0,3,0.0,26.8
22.1,0,late night,heavy,22.4,0,4,0.0,26.6
22.6,0,late night,heavy,22.3,0,5,1.1,26.8
22.2,0,morning,heavy,17.4,0,6,27.4,34.3
21.5,0,morning,heavy,15.0,1,7,42.7,39.8
20.9,0,morning,heavy,10.8,1,8,92.8,55.1
21.2,0,morning,heavy,10.3,1,9,104.6,57.8
21.3,0,morning,heavy,9.1,1,10,133.6,65.5
21.0,0,morning,heavy,9.7,1,11,115.9,61.4
20.8,0,afternoon,heavy,9.4,1,12,120.9,63.7
21.1,0,afternoon,heavy,10.4,1,13,102.0,57.4
21.1,0,afternoon,heavy,10.8,1,14,94.6,55.1
21.2,0,afternoon,heavy,11.0,1,15,92.1,54.1
21.4,0,afternoon,heavy,12.5,1,16,70.6,47.8
21.2,0,evening,heavy,11.4,1,17,85.1,52.2
21.2,0,evening,heavy,11.7,1,18,80.3,51.0
21.1,0,evening,heavy,13.6,1,19,55.3,44.0
21.0,0,evening,heavy,15.5,0,20,35.3,38.4
21.3,0,night,heavy,15.6,0,21,36.1,38.3
21.3,0,night,heavy,16.2,0,22,30.9,36.8
21.3,0,night,heavy,17.8,0,23,19.1,33.5
21.1,0,late night,heavy,18.4,0,0,14.3,32.4
21.1,0,late night,heavy,20.1,0,1,5.1,29.8
21.4,0,late night,heavy,21.5,0,2,0.0,27.8
21.6,0,late night,heavy,22.1,0,3,0.0,27.1
21.8,0,late night,heavy,22.8,0,4,0.0,26.2
22.4,0,late night,heavy,22.4,0,5,0.0,26.7
22.4,0,morning,heavy,17.8,0,6,25.7,33.5
22.3,0,morning,heavy,14.3,1,7,55.5,41.8
21.4,0,morning,heavy,11.4,1,8,87.2,52.2
21.0,0,morning,heavy,9.4,1,9,123.3,63.6
20.9,0,morning,heavy,8.9,1,10,134.1,66.9
20.9,0,morning,heavy,9.2,1,11,125.7,64.6
20.8,0,afternoon,heavy,9.2,1,12,126.1,65.1
20.9,0,afternoon,heavy,9.9,1,13,110.5,60.4
21.0,0,afternoon,heavy,10.9,1,14,93.3,54.9
21.3,0,afternoon,heavy,11.0,1,15,92.7,54.2
21.3,0,afternoon,heavy,12.1,1,16,75.0,49.2
21.2,0,evening,heavy,11.3,1,17,86.0,52.6
21.2,0,evening,heavy,12.1,1,18,74.7,49.4
21.1,0,evening,heavy,13.1,1,19,60.4,45.6
20.9,0,evening,heavy,14.0,0,20,48.4,42.5
21.3,0,night,heavy,15.7,0,21,35.9,38.1
21.4,0,night,heavy,15.9,0,22,34.5,37.5
21.4,0,night,heavy,16.3,0,23,31.1,36.6
21.1,0,late night,heavy,16.5,0,0,27.2,36.1
21.1,0,late night,heavy,19.3,0,1,9.3,31.0
21.5,0,late night,heavy,21.8,0,2,0.0,27.4
22.0,0,late night,heavy,22.4,0,3,0.0,26.7
22.1,0,late night,heavy,23.0,0,4,0.0,26.0
22.5,0,late night,heavy,22.3,0,5,1.0,26.8
22.1,0,morning,heavy,17.8,0,6,24.0,33.6
21.9,0,morning,heavy,13.3,1,7,64.2,44.9
21.3,0,morning,heavy,9.7,1,8,118.8,61.4
21.1,0,morning,heavy,8.4,1,9,151.0,71.3
20.9,0,morning,heavy,8.9,1,10,132.7,66.7
20.8,0,morning,heavy,8.3,1,11,148.8,71.5
21.0,0,afternoon,heavy,8.7,1,12,140.7,68.5
21.1,0,afternoon,heavy,9.5,1,13,122.0,62.9
21.0,0,afternoon,heavy,10.2,1,14,104.4,58.2
21.0,0,afternoon,heavy,10.4,1,15,101.2,57.4
21.0,0,afternoon,heavy,9.9,1,16,110.2,60.0
21.0,0,evening,heavy,10.8,1,17,94.6,55.5
21.2,0,evening,heavy,11.4,1,18,84.8,52.2
21.0,0,evening,heavy,13.2,1,19,59.1,45.2
21.5,0,evening,heavy,14.7,0,20,45.4,40.5
21.4,0,night,heavy,15.5,0,21,37.4,38.5
21.4,0,night,heavy,16.1,0,22,32.5,37.1
21.4,0,night,heavy,16.6,0,23,28.8,36.0
20.8,0,late night,heavy,15.6,0,0,33.0,38.3
20.8,0,late night,heavy,17.3,0,1,20.2,34.6
20.8,0,late night,heavy,19.5,0,2,6.2,30.6
21.2,0,late night,heavy,20.8,0,3,2.2,28.8
21.7,0,late night,heavy,22.4,0,4,0.0,26.7
22.3,0,late night,heavy,21.9,0,5,2.1,27.3
22.6,0,morning,heavy,18.5,0,6,21.9,32.3
22.1,0,morning,heavy,14.8,1,7,48.4,40.2
21.3,0,morning,heavy,10.3,1,8,106.3,57.9
21.2,0,morning,heavy,10.8,1,9,96.0,55.4
21.5,0,morning,heavy,12.0,1,10,78.6,49.6
21.5,0,morning,heavy,11.6,1,11,83.8,51.3
21.3,0,afternoon,heavy,11.4,1,12,85.7,52.3
21.3,0,afternoon,heavy,11.8,1,13,79.4,50.5
21.4,0,afternoon,heavy,12.1,1,14,76.3,49.3
21.4,0,afternoon,heavy,11.8,1,15,80.5,50.5
21.4,0,afternoon,heavy,12.3,1,16,73.7,48.5
21.4,0,evening,heavy,11.5,1,17,86.2,52.0
21.5,0,evening,heavy,11.5,1,18,85.9,51.8
21.2,0,evening,heavy,13.2,1,19,60.4,45.2
21.6,0,evening,heavy,14.8,0,20,46.4,40.5
21.5,0,night,heavy,14.5,0,21,47.7,41.2
21.5,0,night,heavy,16.0,0,22,34.0,37.3
21.7,0,night,heavy,17.8,0,23,22.1,33.6
21.9,1,late night,heavy,18.4,0,0,19.1,32.5
21.6,1,late night,heavy,19.4,0,1,11.2,30.7
21.3,1,late night,heavy,19.9,0,2,6.6,30.0
21.3,1,late night,heavy,21.3,0,3,0.0,28.0
21.8,1,late night,heavy,22.3,0,4,0.0,26.9
22.5,1,late night,heavy,23.5,0,5,0.0,25.5
22.7,1,morning,heavy,22.6,0,6,0.7,26.5
22.7,1,morning,heavy,20.4,1,7,11.2,29.2
22.8,1,morning,heavy,19.6,1,8,16.1,30.5
22.6,1,morning,heavy,17.7,1,9,27.5,33.8
22.4,1,morning,heavy,17.1,1,10,30.3,34.9
22.3,1,morning,heavy,16.1,1,11,38.5,37.1
22.1,1,afternoon,heavy,15.1,1,12,46.4,39.7
21.7,1,afternoon,heavy,15.7,1,13,38.5,38.1
21.0,1,afternoon,heavy,14.3,1,14,46.8,41.8
21.2,1,afternoon,heavy,14.1,1,15,49.9,42.3
21.1,1,afternoon,heavy,12.9,1,16,63.0,46.1
20.8,1,evening,heavy,12.8,1,17,61.9,46.6
21.3,1,evening,heavy,13.0,1,18,63.8,46.1
21.4,1,evening,heavy,13.1,1,19,63.0,45.5
21.8,1,evening,heavy,16.0,0,20,36.0,37.4
22.0,1,night,heavy,16.7,0,21,31.5,35.8
21.7,1,night,heavy,15.6,0,22,39.0,38.3
21.4,1,night,heavy,15.1,0,23,41.6,39.6
21.6,1,late night,heavy,16.2,0,0,33.7,37.0
