job_title,company_name,location,experience,salary,skills,posted_time,job_description,job_link,source
Robotics And AI Trainer,Robo Labs,Kolkata,No experience required,"₹ 2,16,000 - 2,40,000",JavaPythonRoboticsTeachingArduino3D PrintingC++ Programming+2 more,3 days ago,"We are seeking a passionate 'Robotics and AI Trainer' to join our team at Robo Labs. If you are an expert in Java, Python, and C++ programming, with a deep understanding of Robotics, Arduino, ESP32, 3D Printing, Internet of Things (IoT), and a passion for teaching, this role is perfect for you!

Key Responsibilities:

1. Develop and deliver engaging training programs on Robotics and AI concepts using Java, Python, and C++.
2. Create hands-on projects utilizing Arduino, ESP32, and 3D Printing to enhance learning experiences.
3. Teach students how to integrate IoT technologies into Robotics projects for real-world applications.
4. Collaborate with the curriculum development team to design cutting-edge training materials.
5. Provide mentorship and support to students as they work on their Robotics projects.
6. Stay updated on the latest developments in Robotics and AI technologies to incorporate into training programs.
7. Maintain a positive and inclusive learning environment for all students to thrive and succeed in their Robotics journey.

If you are a dynamic and innovative 'Robotics and AI Trainer' with a knack for inspiring others, we want to hear from you. Join us at Robo Labs and make a difference in the exciting world of Robotics!            ",/job/detail/fresher-robotics-and-ai-trainer-job-in-kolkata-at-robo-labs1775026346,Internshala
SEO & Meta/Google Ads Specialist,Avira Digital Studios,Kolkata                                                        (Hybrid),1 year(s),"₹ 2,00,000 - 3,00,000",Digital MarketingGoogle AdWordsSearch Engine Optimization (SEO)Facebook AdsDigital Marketing Tools,3 days ago,"Key Responsibilities: 

1. Plan and execute SEO strategies based on new-age SEO trends and search engine updates
2. Manage and optimize Meta Ads and Google Ads campaigns for lead generation and effective conversions
3. Conduct keyword research, competitor analysis, and performance tracking
4. Improve website rankings, traffic quality, and conversion performance
5. Continuously optimize campaigns to ensure visible ROI and profitability            ",/job/detail/seo-meta-google-ads-specialist-job-in-kolkata-at-avira-digital-studios1775024905,Internshala
Performance Marketing Executive,Ichelon Consulting Services Pvt. Ltd.,Gurgaon,1 year(s),"₹ 3,00,000 - 3,60,000",Social Media MarketingGoogle AnalyticsSearch Engine Marketing (SEM)Data AnalyticsGoogle AdWordsFacebook MarketingMS-Excel+2 more,3 days ago,"Job role: Performance Marketing Executive 
Location: On-site (Gurugram) 
Company: Ichelon Consulting Group 
Role type: Full-time 
Required experience- 1-2 years 
 
Ichelon Consulting Group is looking for a strategic and performance-driven performance marketing  executive to lead and manage paid advertising efforts across Google Ads, Meta  (Facebook/Instagram), LinkedIn, and other social platforms. The ideal candidate will have a solid grasp of digital marketing strategies, conversion tracking, campaign analytics, and client communication. 
 
Key Responsibilities: 

A. Campaign planning & management: 
1. Create, manage, and optimize campaigns across Google Ads (Search, Display, YouTube,  Performance Max) and social platforms (Meta Ads, LinkedIn Ads, Snapchat Ads) 
2. Conduct keyword research, audience targeting, ad copywriting, and competitor benchmarking to  ensure campaign effectiveness 

B. Conversion tracking & optimization: 
1. Set up event-based tracking using tools like Google Tag Manager for actions such as form  submissions, calls, WhatsApp interactions, etc. 
2. Continuously optimize campaigns for cost per lead (CPL), return on ad spend (ROAS), click through rate (CTR), and quality score 
3. Coordinate with landing page and design teams to align creatives with campaign goals and  conversion flows 

C. Reporting & analytics: 
1. Monitor campaign performance on a daily, weekly, and monthly basis 
2. Develop comprehensive performance reports using platforms like Google Analytics, Meta  Business Manager, Looker Studio/Data Studio, and Excel 
3. Provide data-backed insights and strategic recommendations for scaling campaigns and  improving ROI

D. Client communication & coordination: 
1. Act as the main point of contact for assigned clients, providing regular updates, performance  summaries, and strategic input 
2. Understand client goals, manage expectations, and proactively address concerns or changes in  requirements 
3. Collaborate closely with internal teams to ensure deliverables meet client objectives and  timelines 

E. Platform & industry awareness: 
1. Stay up to date with advertising platform updates, privacy policies (HIPAA awareness for healthcare is a plus), and emerging digital trends            ",/job/detail/performance-marketing-executive-job-in-gurgaon-at-ichelon-consulting-services-pvt-ltd1775018926,Internshala
Junior Search Engine Optimization (SEO) Executive,Salemax Plus,Pune,No experience required,"₹ 2,00,000 - 3,00,000",Social Media MarketingGoogle AnalyticsSearch Engine Marketing (SEM)Digital MarketingGoogle AdWordsSearch Engine Optimization (SEO),4 days ago,"At Salemax Plus, we are redefining the real estate ecosystem by bridging the gap between developers and buyers through strategic sales, marketing, and digital solutions. We leverage data, technology, and innovative marketing to drive visibility, engagement, and revenue growth for our projects.

We are looking for a detail-oriented and performance-driven AEO / GEO Executive to enhance our digital presence through advanced search optimization strategies. This role focuses on optimizing content for search engines (SEO/AEO) and geographic targeting (GEO) to improve discoverability, traffic, and lead generation.

Key Responsibilities:

A. Search Optimization (SEO/AEO):
1. Optimize website and landing pages for search engines and answer engines (Google, AI search, voice search)
2. Conduct keyword research and implement on-page and technical SEO strategies
3. Improve content visibility through structured data, FAQs, and featured snippet optimization
4. Monitor rankings, traffic, and performance metrics to drive continuous improvement

B. Geographic Targeting & Local SEO (GEO):
1. Optimize listings and content for location-based searches and local SEO
2. Manage Google Business Profiles and location-specific visibility strategies
3. Drive hyperlocal content and keyword strategies for project-level targeting
4. Analyze geographic performance data to refine campaigns

C. Content & Growth Strategy:
1. Collaborate with content and marketing teams to create SEO-friendly content
2. Identify growth opportunities through search trends and user intent analysis
3. Support lead generation initiatives through organic channels
4. Ensure alignment of content with business and project goals

D. Performance Tracking & Optimization:
1. Track and report key metrics such as traffic, rankings, and conversions
2. Use tools like Google Analytics, Search Console, SEMrush, etc. for insights
3. Continuously optimize campaigns based on performance data
4. Stay updated with algorithm changes and industry best practices

Job Details:

1. AEO/GEO Executive (Search Optimization & Growth)
2. Job Category: Digital Marketing/SEO
3. Job Type: Full-time
4. Location: Pune, Maharashtra
5. Working Hours: As per company policy

Other Rewards:

1. Opportunity to work on high-impact digital growth strategies
2. Exposure to real estate marketing and performance-driven campaigns
3. Learning and development opportunities
4. Dynamic and fast-paced work environment            ",/job/detail/fresher-junior-search-engine-optimization-seo-executive-job-in-pune-at-salemax-plus1774892276,Internshala
Video Editor & Cinematographer With Expertise Using AI,Vave Entertainment (LoudSound Studios LLP),Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000",Adobe PhotoshopAdobe IllustratorVideo EditingAdobe Premiere ProFinal Cut ProVideo MakingArtificial intelligence+4 more,4 days ago,"We are looking for a creative and tech-savvy Content Creation & AI Video Specialist to assist with producing content for social media (Instagram, YouTube) and handling video editing for music projects. The ideal candidate will have experience in video production, a passion for music, and expertise in integrating advanced AI tools to elevate visual content and music videos. This role requires someone who can manage multiple video editing projects while meeting deadlines and delivering high-quality work.

Key Responsibilities:

A. Content Creation & Editing:
1. Produce high-quality video and photo content for Instagram, YouTube, and other social media platforms.
2. Edit and optimize videos for posts, Stories, Reels, and YouTube.
3. Collaborate with the artist to create compelling, on-brand content that connects with the audience.

B. Music Video Production:
1. Assist with all stages of music video production, from concept to filming and editing.
2. Use AI tools to enhance music videos with innovative visual effects, animation, and dynamic transitions.
3. Integrate AI-driven design elements to elevate the quality and creativity of the final product.

C. AI Integration:
1. Use AI tools like RunwayML, MidJourney, Artbreeder, DeepDream, Blender and Adobe Sensei to create unique, high-end visual effects and enhance video content.
2. Apply AI technologies to add generative art, dynamic effects, and other creative elements to videos and social media content.
3. Stay up-to-date with the latest AI advancements to ensure cutting-edge, professional results.

D. Video Editing Projects:
1. Manage multiple video editing projects, ensuring timely delivery and adherence to deadlines.
2. Handle all stages of editing from rough cuts to final delivery, ensuring a smooth workflow and high-quality output.

E. Social Media & Strategy:
1. Develop and manage a content calendar to maintain consistent, engaging posts across all platforms.
2. Analyze performance data to refine and improve content strategy over time.            ",/job/detail/video-editor-cinematographer-with-expertise-using-ai-job-in-mumbai-at-vave-entertainment-loudsound-studios-llp1774891567,Internshala
STEM Innovation Engineer/Mentor,Stemmantra Technologies Private Limited,"Delhi, Gurgaon, Kota, Kangra, Surat",No experience required,"₹ 2,75,000 - 3,85,000",ArduinoC++ ProgrammingInternet of Things (IoT),4 days ago,"Key Responsibilities: 

1. Work on training and development of the school students on robotics, IoT & AI.
2. Design and develop robotics and IoT-based education kits.
3. Create a curriculum based on the kit for students.
4. Work on embedded systems.            ",/job/detail/fresher-stem-innovation-engineer-mentor-job-in-multiple-locations-at-stemmantra-technologies-private-limited1774883538,Internshala
Social Media Executive,2Factor,Mumbai,1 year(s),"₹ 2,00,000 - 3,00,000",Social Media MarketingVideo EditingContent ManagementContent Editing,1 week ago,"Key Responsibilities: 

1. Content Creation: Creating engaging reels, shorts, carousels, posts, and stories across platforms.
2. Platform Management: Handling Instagram, Facebook, LinkedIn, X, and YouTube with consistent branding and scheduling.
3. Video Editing: Editing high-quality videos using tools like Premiere Pro, CapCut, or Final Cut Pro.
4. Content Planning: Maintaining a monthly content calendar and ensuring timely delivery.
5. Analytics: Tracking performance and sharing weekly insights on growth and engagement.
6. Trend Tracking: Staying updated with trends, algorithms, and competitor strategies.
7. Collaboration: Working with designers and writers for cohesive content.            ",/job/detail/social-media-executive-job-in-mumbai-at-2factor1774545746,Internshala
Pharmaceutical Formulation & Drug Delivery Scientist,Aodh Lifesciences Private Limited,Hyderabad,1 year(s),"₹ 2,00,000 - 4,00,000",MS-OfficeScientific WritingMicrobiological TechniquesResearch and Analytics,1 week ago,"Key Responsibilities: 

1. Lead formulation strategy for nasal and inhalation drug delivery systems.
2. Design and optimize formulations (solution/suspension, excipients, pH, viscosity, stability).
3. Collaborate on device selection (pump systems, container-closure).
4. Develop QTPP, CQA, and risk assessment frameworks.
5. Plan and evaluate prototype batches, compatibility, and performance studies.
6. Prepare regulatory-style documentation and development reports.
7. Work cross-functionally with analytical, regulatory, quality, and clinical teams.
8. Apply QbD and DoE approaches for formulation optimization.            ",/job/detail/part-time-pharmaceutical-formulation-drug-delivery-scientist-job-in-hyderabad-at-aodh-lifesciences-private-limited1774525195,Internshala
Google Ads Specialist,Profound Digital,Hyderabad,1 year(s),"₹ 2,74,000 - 4,10,000",Google AnalyticsGoogle AdWordsGoogle Tag ManagerPaid Advertising,1 week ago,"Key responsibilities: 

1. Develop, implement, and manage Google Ads campaigns across Search, Display, Shopping, Video, and Performance Max
2. Conduct comprehensive keyword research, competitive analysis, and audience targeting strategies
3. Create compelling ad copy and design A/B tests to improve click-through rates and conversion rates
4. Monitor campaign performance daily and make data-driven optimization decisions
5. Manage campaign budgets effectively to maximize ROI and achieve client KPIs
6. Analyze campaign metrics using Google Ads, Google Analytics 4, and other analytics platforms
7. Prepare detailed performance reports and present insights to clients and internal stakeholders
8. Stay current with Google Ads platform updates, industry trends, and best practices
9. Collaborate with SEO, content, and design teams to ensure campaign alignment
10. Implement conversion tracking, tag management, and attribution modeling            ",/job/detail/google-ads-specialist-job-in-hyderabad-at-profound-digital1774524733,Internshala
Performance Marketing Executive,Health Sutra,Delhi                                                        (Hybrid),1 year(s),"₹ 3,50,000 - 6,00,000",Social Media MarketingDigital AdvertisingPerformance Marketing,1 week ago,"Key Responsibilities:

A. Performance Marketing:
1. Plan, execute, and optimize campaigns across:
2. Meta Ads (Facebook & Instagram)
3. Google Ads (Search, Display, YouTube)
4. Own and improve key metrics: ROAS, CAC, CTR, Conversion Rate
5. Run continuous A/B testing across creatives, copy, targeting, and funnels

B. Digital Marketing Strategy:
1. Build and execute full-funnel marketing strategies
2. Identify growth opportunities across paid + organic channels
3. Collaborate with founders on weekly growth plans and experiments

C. Creative Strategy (Core to the Role):
1. Ideate and execute scroll-stopping ad creatives.
2. Develop strong hooks and storytelling based on customer problems and real-life skin concerns.
3. Understand what drives performance, not just aesthetics.

D. Content Creation (Reels and Ads):
1. Create and shoot Instagram reels and performance ad creatives (video and static).
2. Focus on fast, testable content production.

E. Analytics and Reporting:
1. Track campaign performance and derive insights.
2. Share actionable recommendations.
3. Continuously optimize based on data.            ",/job/detail/performance-marketing-executive-job-in-delhi-at-health-sutra1774514200,Internshala
Digital Marketing Specialist,Qubitron Labs,Jaipur,1 year(s),"₹ 2,00,000 - 6,80,000",Search Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO),1 week ago,"We’re building a global gaming marketing platform targeting multiple international markets and looking for a senior strategist who understands competitive SEO and growth marketing. This role focuses on global search rankings, affiliate growth, and performance marketing.

Key Responsibilities:

1. Building country-wise SEO strategies
2. Scaling high-competition keywords in global markets
3. Designing content clusters and authority pages
4. Managing affiliate partnerships
5. Optimizing player acquisition funnels

Note: Selected candidates will go through a short strategic assessment before the final interview.            ",/job/detail/digital-marketing-specialist-job-in-jaipur-at-qubitron-labs1774511943,Internshala
Junior Robotics Trainee,Vigyan Pathshala Private Limited,"Gorakhpur, Sultanpur, Allahabad",No experience required,"₹ 2,00,000 - 2,40,000",PythonRoboticsArduinoInternet of Things (IoT),1 week ago,"Vigyan Pathshala Private Limited is looking for a passionate and motivated Robotics & AI Trainee who is eager to build a career in teaching and technology. The candidate will gain hands-on experience in Arduino, Robotics, IoT, and basic AI concepts, while also delivering engaging sessions to school students.

Key Responsibilities:

1. Teach Robotics, Arduino, and basic AI concepts to school students
2. Conduct practical sessions and help students build small projects
3. Assist in designing and developing robotics systems using Arduino and IoT technologies
4. Support development of basic Python applications for controlling and monitoring devices
5. Participate in testing and debugging of robotics projects
6. Maintain discipline and engagement during classroom sessions (yes, this is a real skill)
7. Contribute creative ideas to improve learning experience and project outcomes
8.Stay updated with latest trends in robotics and AI

Salary and Benefits: 

1. Probation Period (3 months):  around ₹10,000 per month
2. Post Probation: ₹20000 per month
3. Hands-on training and practical exposure in Robotics & AI
4. Opportunity to work on real-world projects and teaching experience            ",/job/detail/fresher-junior-robotics-trainee-job-in-multiple-locations-at-vigyan-pathshala-private-limited1774474006,Internshala
Junior Motion Graphics Executive,Prolific 3D Tech,Vasai-Virar,1 year(s),"₹ 2,40,000 - 3,00,000",Adobe PhotoshopVideo EditingAutodesk MayaVideo MakingAnimationAdobe After Effects,1 week ago,"Key Responsibilities:

A. YouTube marketing and revenue growth:
1. Managing and optimizing YouTube channels for better reach, engagement, and monetization.
2. Planning and executing YouTube video boosting strategies to increase visibility and watch time.
3. Analyzing YouTube analytics to track performance, revenue trends, and viewer behavior.
4. Optimizing titles, descriptions, tags, thumbnails, and playlists for improved ranking.
5. Collaborating with the content and design team to plan high-performing video content.

B. SEO and website optimization:
1. Conducting keyword research and implementing on-page SEO best practices.
2. Optimizing website content, blogs, landing pages, and metadata for better SERP ranking.
3. Implementing off-page SEO strategies, including link building, directory submissions, and content outreach.
4. Monitoring and reporting website performance using tools such as Google Analytics, Google Search Console, and SEMrush or Ahrefs.

C. Social media and digital campaign support:
1. Assisting in planning and executing digital marketing campaigns across platforms.
2. Monitoring social media trends and supporting content creation where required.
3. Tracking and analyzing campaign results to improve performance.

D. Data analysis and reporting:
1. Preparing weekly or monthly reports on YouTube growth, website performance, and SEO metrics.
2. Identifying insights and recommending improvements based on analytics.            ",/job/detail/junior-motion-graphics-executive-job-in-vasai-virar-at-prolific-3d-tech1774391075,Internshala
Civil Engineer- Technical Business Growth Executive (Male),GEOsystems Nagpur,Nagpur,1 year(s),"₹ 2,70,000 - 4,00,000",MS-ExcelEffective Communication,1 week ago,"As a 'Civil Engineer- Technical Business Growth Executive' at GEOsystems Nagpur, you will have the opportunity to blend your technical expertise with your business acumen to drive growth and success for our company. Your role will be crucial in expanding our market presence and increasing our revenue streams. 

Key Responsibilities:

1. Utilize your civil engineering knowledge to understand client needs and propose innovative solutions.
2. Develop and maintain relationships with key stakeholders in the industry to drive business growth.
3. Conduct market research and analysis to identify new business opportunities and expansion areas.
4. Collaborate with the sales and marketing teams to develop effective strategies for business development.
5. Use MS-Excel to analyze data and track key performance metrics to measure success and identify areas for improvement.
6. Lead the proposal development process for new projects and opportunities.
7. Communicate effectively with internal and external teams to ensure smooth project execution and client satisfaction.

If you are a dynamic individual with a passion for civil engineering and business development, this is the perfect opportunity for you to make a meaningful impact and drive growth for GEOsystems Nagpur. Join us in our mission to deliver excellence in engineering solutions and shape the future of our industry!            ",/job/detail/civil-engineer-technical-business-growth-executive-male-job-in-nagpur-at-geosystems-nagpur1774119362,Internshala
Field Sales Executive,Exajoule Private Limited,"Gorakhpur, Lucknow, Ayodhya, Hardoi                                                        (Hybrid)",1 year(s),"₹ 6,00,000 - 9,60,000",LeadershipEffective CommunicationField Sales,1 week ago,"We are seeking a versatile and highly experienced 'Solar Project Professional' to manage end-to-end solar installations across B2C segments.

Key Responsibilities:

1. Handling diverse projects.
2. Generating new leads and identifying new clients for various channels.
3. Identifying potential customers, assessing their solar energy needs, and presenting customized solar panel solutions.
4. Maintaining sales reports and data in Excel on a daily basis and submitting them to management for analysis and evaluation of sales strategies.
5. Overseeing the complete lifecycle of solar projects from site survey and design validation to procurement, installation, and final commissioning.
6. Managing field sales.
7. Handling B2C sales.
8. Working in the solar energy (renewable) sector.            ",/job/detail/field-sales-executive-job-in-multiple-locations-at-exajoule-private-limited1774117388,Internshala
Content & E-commerce Management Manager,GREENLAND SOLUTIONS,"Delhi, Ghaziabad, Noida",1 year(s),"₹ 3,00,000 - 5,00,000",E-commerceMarket AnalysisEnglish Proficiency (Spoken)English Proficiency (Written)MarketingMarketing Campaigns,1 week ago,"Are you a talented individual with a passion for content creation and e-commerce management? Greenland Solutions is looking for a dynamic 'Content & E-commerce Management Manager' to join our team. As a key player in our organization, you will be responsible for driving our online presence and sales through effective content creation, marketing campaigns, and market analysis. If you have a strong command of both written and spoken English, along with experience in e-commerce and marketing, we want to hear from you!

Key Responsibilities:

1. Develop and implement content strategies to enhance our online visibility and drive traffic to our e-commerce platform.
2. Manage all aspects of our e-commerce platform, including product listings, pricing, and customer service.
3. Create and execute marketing campaigns to promote our products and services to target audiences.
4. Conduct market analysis to identify trends, opportunities, and threats in the industry.
5. Collaborate with the marketing team to align content and e-commerce strategies with overall business goals.
6. Monitor and analyze key performance indicators to measure the success of content and e-commerce initiatives.
7. Stay up-to-date on industry best practices and trends to continuously improve our online presence and e-commerce performance. 

If you are a strategic thinker with a proven track record in content and e-commerce management, we want to hear from you. Join us at Greenland Solutions and take your career to new heights!            ",/job/detail/content-e-commerce-management-manager-job-in-multiple-locations-at-greenland-solutions1774116900,Internshala
Sales Executive - Real Estate,Eleved,Gurgaon                                                        (Hybrid),1 year(s),"₹ 2,10,000 - 3,20,000",Effective Communication,2 weeks ago,"A results-driven real estate professional responsible for facilitating residential sales and commercial leasing transactions. This role requires deep knowledge of the Gurgaon market, strong networking capability, and the ability to perform in a target-driven environment.

Key Responsibilities:

A. Lead Generation & Management:
1. Actively seek new opportunities through networking, cold calling, and digital platforms.
2. Maintain and update client databases using CRM systems.
3. Build and expand a strong broker and advisor network.

B. Client Consultation:
1. Understand client needs, financial capacity, and property preferences.
2. Provide informed advisory support based on market knowledge.

C. Market Analysis:
1. Monitor competitor pricing and stay updated on Gurgaon micro-market trends.
2. Provide accurate property comparisons and positioning insights.

D. Site Visits & Presentation:
1. Organize and conduct professional property showings.
2. Present features, benefits, and relevant data confidently.

E. Negotiation & Closing:
1. Mediate discussions between parties to reach mutually agreeable terms.
2. Manage documentation including sale agreements and leasing contracts.
3. Ensure compliance with applicable real estate regulations (including RERA).

F. Performance & Discipline:
1. Thrive in ambiguity and dynamic market conditions.
2. Comfortable working under aggressive targets.
3. Maintain strong follow-up discipline and ownership.
Qualifications & Skills

Job Details:

1. Job Types: Full-time, Permanent, Fresher
2. Work Location: In person            ",/job/detail/sales-executive-real-estate-job-in-gurgaon-at-eleved1773951040,Internshala
Google Ads Specialist,Profound Digital,Hyderabad,1 year(s),"₹ 2,74,000 - 4,10,000",Google AnalyticsGoogle AdWordsGoogle Tag ManagerPaid Advertising,1 week ago,"Key responsibilities: 

1. Develop, implement, and manage Google Ads campaigns across Search, Display, Shopping, Video, and Performance Max
2. Conduct comprehensive keyword research, competitive analysis, and audience targeting strategies
3. Create compelling ad copy and design A/B tests to improve click-through rates and conversion rates
4. Monitor campaign performance daily and make data-driven optimization decisions
5. Manage campaign budgets effectively to maximize ROI and achieve client KPIs
6. Analyze campaign metrics using Google Ads, Google Analytics 4, and other analytics platforms
7. Prepare detailed performance reports and present insights to clients and internal stakeholders
8. Stay current with Google Ads platform updates, industry trends, and best practices
9. Collaborate with SEO, content, and design teams to ensure campaign alignment
10. Implement conversion tracking, tag management, and attribution modeling            ",/job/detail/google-ads-specialist-job-in-hyderabad-at-profound-digital1774524733,Internshala
Performance Marketing Executive,Health Sutra,Delhi                                                        (Hybrid),1 year(s),"₹ 3,50,000 - 6,00,000",Social Media MarketingDigital AdvertisingPerformance Marketing,1 week ago,"Key Responsibilities:

A. Performance Marketing:
1. Plan, execute, and optimize campaigns across:
2. Meta Ads (Facebook & Instagram)
3. Google Ads (Search, Display, YouTube)
4. Own and improve key metrics: ROAS, CAC, CTR, Conversion Rate
5. Run continuous A/B testing across creatives, copy, targeting, and funnels

B. Digital Marketing Strategy:
1. Build and execute full-funnel marketing strategies
2. Identify growth opportunities across paid + organic channels
3. Collaborate with founders on weekly growth plans and experiments

C. Creative Strategy (Core to the Role):
1. Ideate and execute scroll-stopping ad creatives.
2. Develop strong hooks and storytelling based on customer problems and real-life skin concerns.
3. Understand what drives performance, not just aesthetics.

D. Content Creation (Reels and Ads):
1. Create and shoot Instagram reels and performance ad creatives (video and static).
2. Focus on fast, testable content production.

E. Analytics and Reporting:
1. Track campaign performance and derive insights.
2. Share actionable recommendations.
3. Continuously optimize based on data.            ",/job/detail/performance-marketing-executive-job-in-delhi-at-health-sutra1774514200,Internshala
Digital Marketing Specialist,Qubitron Labs,Jaipur,1 year(s),"₹ 2,00,000 - 6,80,000",Search Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO),1 week ago,"We’re building a global gaming marketing platform targeting multiple international markets and looking for a senior strategist who understands competitive SEO and growth marketing. This role focuses on global search rankings, affiliate growth, and performance marketing.

Key Responsibilities:

1. Building country-wise SEO strategies
2. Scaling high-competition keywords in global markets
3. Designing content clusters and authority pages
4. Managing affiliate partnerships
5. Optimizing player acquisition funnels

Note: Selected candidates will go through a short strategic assessment before the final interview.            ",/job/detail/digital-marketing-specialist-job-in-jaipur-at-qubitron-labs1774511943,Internshala
Junior Robotics Trainee,Vigyan Pathshala Private Limited,"Gorakhpur, Sultanpur, Allahabad",No experience required,"₹ 2,00,000 - 2,40,000",PythonRoboticsArduinoInternet of Things (IoT),1 week ago,"Vigyan Pathshala Private Limited is looking for a passionate and motivated Robotics & AI Trainee who is eager to build a career in teaching and technology. The candidate will gain hands-on experience in Arduino, Robotics, IoT, and basic AI concepts, while also delivering engaging sessions to school students.

Key Responsibilities:

1. Teach Robotics, Arduino, and basic AI concepts to school students
2. Conduct practical sessions and help students build small projects
3. Assist in designing and developing robotics systems using Arduino and IoT technologies
4. Support development of basic Python applications for controlling and monitoring devices
5. Participate in testing and debugging of robotics projects
6. Maintain discipline and engagement during classroom sessions (yes, this is a real skill)
7. Contribute creative ideas to improve learning experience and project outcomes
8.Stay updated with latest trends in robotics and AI

Salary and Benefits: 

1. Probation Period (3 months):  around ₹10,000 per month
2. Post Probation: ₹20000 per month
3. Hands-on training and practical exposure in Robotics & AI
4. Opportunity to work on real-world projects and teaching experience            ",/job/detail/fresher-junior-robotics-trainee-job-in-multiple-locations-at-vigyan-pathshala-private-limited1774474006,Internshala
Junior Motion Graphics Executive,Prolific 3D Tech,Vasai-Virar,1 year(s),"₹ 2,40,000 - 3,00,000",Adobe PhotoshopVideo EditingAutodesk MayaVideo MakingAnimationAdobe After Effects,1 week ago,"Key Responsibilities:

A. YouTube marketing and revenue growth:
1. Managing and optimizing YouTube channels for better reach, engagement, and monetization.
2. Planning and executing YouTube video boosting strategies to increase visibility and watch time.
3. Analyzing YouTube analytics to track performance, revenue trends, and viewer behavior.
4. Optimizing titles, descriptions, tags, thumbnails, and playlists for improved ranking.
5. Collaborating with the content and design team to plan high-performing video content.

B. SEO and website optimization:
1. Conducting keyword research and implementing on-page SEO best practices.
2. Optimizing website content, blogs, landing pages, and metadata for better SERP ranking.
3. Implementing off-page SEO strategies, including link building, directory submissions, and content outreach.
4. Monitoring and reporting website performance using tools such as Google Analytics, Google Search Console, and SEMrush or Ahrefs.

C. Social media and digital campaign support:
1. Assisting in planning and executing digital marketing campaigns across platforms.
2. Monitoring social media trends and supporting content creation where required.
3. Tracking and analyzing campaign results to improve performance.

D. Data analysis and reporting:
1. Preparing weekly or monthly reports on YouTube growth, website performance, and SEO metrics.
2. Identifying insights and recommending improvements based on analytics.            ",/job/detail/junior-motion-graphics-executive-job-in-vasai-virar-at-prolific-3d-tech1774391075,Internshala
Civil Engineer- Technical Business Growth Executive (Male),GEOsystems Nagpur,Nagpur,1 year(s),"₹ 2,70,000 - 4,00,000",MS-ExcelEffective Communication,1 week ago,"As a 'Civil Engineer- Technical Business Growth Executive' at GEOsystems Nagpur, you will have the opportunity to blend your technical expertise with your business acumen to drive growth and success for our company. Your role will be crucial in expanding our market presence and increasing our revenue streams. 

Key Responsibilities:

1. Utilize your civil engineering knowledge to understand client needs and propose innovative solutions.
2. Develop and maintain relationships with key stakeholders in the industry to drive business growth.
3. Conduct market research and analysis to identify new business opportunities and expansion areas.
4. Collaborate with the sales and marketing teams to develop effective strategies for business development.
5. Use MS-Excel to analyze data and track key performance metrics to measure success and identify areas for improvement.
6. Lead the proposal development process for new projects and opportunities.
7. Communicate effectively with internal and external teams to ensure smooth project execution and client satisfaction.

If you are a dynamic individual with a passion for civil engineering and business development, this is the perfect opportunity for you to make a meaningful impact and drive growth for GEOsystems Nagpur. Join us in our mission to deliver excellence in engineering solutions and shape the future of our industry!            ",/job/detail/civil-engineer-technical-business-growth-executive-male-job-in-nagpur-at-geosystems-nagpur1774119362,Internshala
Field Sales Executive,Exajoule Private Limited,"Gorakhpur, Lucknow, Ayodhya, Hardoi                                                        (Hybrid)",1 year(s),"₹ 6,00,000 - 9,60,000",LeadershipEffective CommunicationField Sales,1 week ago,"We are seeking a versatile and highly experienced 'Solar Project Professional' to manage end-to-end solar installations across B2C segments.

Key Responsibilities:

1. Handling diverse projects.
2. Generating new leads and identifying new clients for various channels.
3. Identifying potential customers, assessing their solar energy needs, and presenting customized solar panel solutions.
4. Maintaining sales reports and data in Excel on a daily basis and submitting them to management for analysis and evaluation of sales strategies.
5. Overseeing the complete lifecycle of solar projects from site survey and design validation to procurement, installation, and final commissioning.
6. Managing field sales.
7. Handling B2C sales.
8. Working in the solar energy (renewable) sector.            ",/job/detail/field-sales-executive-job-in-multiple-locations-at-exajoule-private-limited1774117388,Internshala
Content & E-commerce Management Manager,GREENLAND SOLUTIONS,"Delhi, Ghaziabad, Noida",1 year(s),"₹ 3,00,000 - 5,00,000",E-commerceMarket AnalysisEnglish Proficiency (Spoken)English Proficiency (Written)MarketingMarketing Campaigns,1 week ago,"Are you a talented individual with a passion for content creation and e-commerce management? Greenland Solutions is looking for a dynamic 'Content & E-commerce Management Manager' to join our team. As a key player in our organization, you will be responsible for driving our online presence and sales through effective content creation, marketing campaigns, and market analysis. If you have a strong command of both written and spoken English, along with experience in e-commerce and marketing, we want to hear from you!

Key Responsibilities:

1. Develop and implement content strategies to enhance our online visibility and drive traffic to our e-commerce platform.
2. Manage all aspects of our e-commerce platform, including product listings, pricing, and customer service.
3. Create and execute marketing campaigns to promote our products and services to target audiences.
4. Conduct market analysis to identify trends, opportunities, and threats in the industry.
5. Collaborate with the marketing team to align content and e-commerce strategies with overall business goals.
6. Monitor and analyze key performance indicators to measure the success of content and e-commerce initiatives.
7. Stay up-to-date on industry best practices and trends to continuously improve our online presence and e-commerce performance. 

If you are a strategic thinker with a proven track record in content and e-commerce management, we want to hear from you. Join us at Greenland Solutions and take your career to new heights!            ",/job/detail/content-e-commerce-management-manager-job-in-multiple-locations-at-greenland-solutions1774116900,Internshala
