provider,region,instance_type,vCPU,ram_gb,storage_gb,bandwidth_tb,contract_type,usage_hours,monthly_cost($)
Azure,us-west-2,compute,2,32,100,4.31,On-Demand,720,108.24
AWS,ap-south-1,general,8,8,1000,3.11,On-Demand,360,144.19
Azure,us-east-1,general,4,64,1000,3.84,Reserved,720,150.56
Azure,us-west-2,general,8,16,100,2.91,On-Demand,720,118.74
Azure,eu-west-1,general,16,32,100,4.11,On-Demand,720,216.6
AWS,ap-south-1,general,2,32,1000,4.96,On-Demand,360,149.44
GCP,ap-south-1,memory,8,8,100,1.36,On-Demand,720,83.54
AWS,eu-west-1,general,2,16,500,4.64,On-Demand,720,101.66
GCP,eu-west-1,compute,2,8,1000,1.16,On-Demand,720,77.56
Azure,us-east-1,memory,8,32,1000,4.33,On-Demand,720,198.21
GCP,us-east-1,memory,2,16,500,3.47,On-Demand,720,86.57
GCP,us-west-2,compute,2,8,500,1.34,On-Demand,720,57.72
GCP,eu-west-1,memory,8,32,1000,2.16,On-Demand,720,160.78
GCP,ap-south-1,general,8,64,500,1.03,On-Demand,720,172.3
Azure,ap-south-1,compute,4,8,1000,0.66,Reserved,720,69.66
AWS,us-west-2,compute,8,8,100,0.81,On-Demand,360,82.99
GCP,eu-west-1,memory,8,32,100,3.13,On-Demand,360,130.6
Azure,us-east-1,memory,2,8,1000,3,On-Demand,360,103.11
Azure,ap-south-1,general,4,16,500,0.84,On-Demand,720,86.58
Azure,us-west-2,general,4,64,200,4.82,On-Demand,720,180.58
Azure,us-east-1,compute,16,32,1000,1.38,On-Demand,360,233.33
GCP,us-west-2,compute,8,8,100,1.67,On-Demand,720,86.19
AWS,ap-south-1,memory,2,16,200,3.31,Reserved,360,54.86
Azure,us-east-1,compute,2,8,500,4.76,On-Demand,360,96.12
AWS,us-west-2,general,16,32,100,0.73,On-Demand,360,175.87
AWS,us-east-1,general,2,16,200,0.89,On-Demand,720,54.41
AWS,eu-west-1,memory,8,32,1000,0.89,On-Demand,720,157.81
Azure,eu-west-1,compute,8,16,1000,3.98,On-Demand,720,171.38
Azure,eu-west-1,compute,2,32,100,2.37,On-Demand,720,89.91
Azure,us-east-1,memory,4,8,1000,2.18,On-Demand,360,111.11
AWS,us-east-1,compute,4,16,500,1.03,On-Demand,360,84.17
Azure,us-west-2,compute,8,8,500,1.38,On-Demand,360,111.43
Azure,eu-west-1,general,8,32,500,3.35,On-Demand,720,165.32
AWS,eu-west-1,compute,2,16,200,1.45,On-Demand,720,59.45
Azure,eu-west-1,compute,16,8,500,3.85,On-Demand,720,197.77
GCP,us-west-2,memory,4,16,1000,4.27,Reserved,360,92.91
GCP,ap-south-1,compute,2,32,100,2.13,On-Demand,720,79.3
GCP,eu-west-1,compute,4,32,100,0.64,On-Demand,720,80.81
GCP,us-west-2,compute,2,32,100,0.91,On-Demand,720,68.87
AWS,us-east-1,memory,8,8,100,4.96,Reserved,720,86.64
Azure,us-east-1,compute,2,8,500,3.15,On-Demand,720,80.9
GCP,us-west-2,compute,8,16,100,3.71,On-Demand,720,114.28
GCP,eu-west-1,memory,2,8,100,3.25,Reserved,360,41.01
Azure,eu-west-1,compute,2,16,500,4.67,On-Demand,360,107.03
AWS,ap-south-1,memory,8,32,200,0.88,On-Demand,720,121.72
GCP,us-east-1,memory,4,16,500,2.1,Reserved,360,64.16
Azure,eu-west-1,compute,2,8,100,1.15,On-Demand,720,43.1
Azure,us-west-2,compute,4,8,1000,4.04,Reserved,360,92.66
GCP,eu-west-1,compute,2,32,100,2.57,Reserved,360,59.8
GCP,ap-south-1,general,16,8,100,4.09,On-Demand,720,163.88
Azure,us-west-2,memory,16,32,1000,3.46,On-Demand,720,252.99
Azure,us-west-2,general,4,16,1000,4.91,On-Demand,720,148.67
GCP,us-west-2,general,8,16,200,4.56,On-Demand,720,125.82
GCP,us-west-2,compute,2,8,200,1.29,On-Demand,720,44.47
GCP,us-west-2,memory,4,16,1000,1.15,Reserved,360,73.7
GCP,us-west-2,compute,4,8,1000,0.72,On-Demand,720,88.05
AWS,eu-west-1,compute,2,64,100,3.85,Reserved,360,103.5
Azure,eu-west-1,compute,8,16,1000,1.65,On-Demand,720,149.36
GCP,ap-south-1,memory,8,32,1000,2.88,Reserved,360,120.19
Azure,ap-south-1,memory,8,64,1000,4.63,On-Demand,720,248.08
GCP,eu-west-1,memory,4,16,200,1.14,On-Demand,360,68.08
AWS,us-west-2,memory,8,16,200,4.41,Reserved,720,94.38
Azure,us-east-1,compute,2,8,200,0.92,On-Demand,720,45.65
AWS,us-east-1,general,2,32,1000,1.8,On-Demand,360,121
Azure,eu-west-1,general,2,32,200,3.37,Reserved,360,74.94
AWS,ap-south-1,memory,4,64,100,4.25,On-Demand,720,162.35
GCP,eu-west-1,general,16,8,1000,4.71,On-Demand,720,207.66
GCP,eu-west-1,compute,2,8,500,2.61,On-Demand,720,68.58
AWS,us-east-1,memory,2,32,1000,3.02,On-Demand,720,131.98
GCP,us-east-1,general,16,64,100,2.45,On-Demand,720,224.34
AWS,ap-south-1,memory,4,16,100,1.12,On-Demand,720,66.98
AWS,eu-west-1,compute,4,64,500,1.07,On-Demand,720,151.73
Azure,us-west-2,compute,16,32,200,2.38,Reserved,360,147.59
AWS,eu-west-1,compute,2,16,200,3.27,On-Demand,360,75.83
Azure,us-west-2,general,4,16,1000,0.5,On-Demand,360,107
AWS,us-west-2,memory,2,64,200,4.37,On-Demand,720,152.93
Azure,us-west-2,general,8,16,500,3.88,On-Demand,360,146.81
Azure,ap-south-1,general,8,16,1000,4.16,On-Demand,360,173.08
GCP,us-east-1,compute,4,8,1000,1.29,On-Demand,720,92.92
Azure,us-west-2,general,8,8,1000,1.71,On-Demand,360,138.17
Azure,us-west-2,memory,16,64,100,0.57,Reserved,360,165.74
AWS,us-east-1,compute,16,16,100,4.6,On-Demand,360,188.3
Azure,us-east-1,compute,2,8,200,1.79,On-Demand,360,53.88
GCP,ap-south-1,memory,2,8,200,4.52,Reserved,360,51.9
AWS,eu-west-1,general,8,8,1000,4.79,On-Demand,720,159.31
Azure,us-west-2,general,2,32,200,1.05,On-Demand,720,82.16
AWS,eu-west-1,compute,8,16,100,3.75,On-Demand,720,120.65
AWS,us-east-1,general,8,32,1000,2.76,On-Demand,720,174.64
AWS,ap-south-1,memory,2,16,100,0.58,Reserved,360,33.93
AWS,ap-south-1,memory,16,32,200,2.04,Reserved,720,138.36
AWS,us-west-2,compute,2,32,200,3.25,Reserved,720,70.6
Azure,eu-west-1,compute,8,32,1000,2.44,On-Demand,360,180.35
AWS,us-east-1,memory,2,8,500,1.82,On-Demand,720,65.08
AWS,eu-west-1,memory,8,8,100,4.91,Reserved,360,86.32
GCP,us-west-2,general,8,8,500,1.64,Reserved,720,74.19
GCP,us-west-2,general,16,32,100,4.96,On-Demand,720,203.24
AWS,us-west-2,compute,2,32,100,1.25,On-Demand,720,75.55
Azure,us-west-2,memory,4,64,500,3.66,On-Demand,360,183.79
GCP,eu-west-1,compute,4,8,200,4.42,On-Demand,720,85.48
GCP,eu-west-1,memory,8,16,500,4.33,On-Demand,720,136.68
AWS,us-west-2,memory,16,64,200,0.88,On-Demand,720,226.52
Azure,us-west-2,compute,16,32,1000,4.32,On-Demand,720,261.11
Azure,ap-south-1,general,2,64,1000,3.13,Reserved,720,134.39
GCP,us-east-1,compute,2,32,100,4.73,Reserved,360,73.1
GCP,ap-south-1,general,2,32,100,2.85,On-Demand,720,85.45
GCP,us-west-2,memory,2,64,100,3.62,On-Demand,360,134.6
GCP,us-west-2,memory,8,16,200,3.14,On-Demand,360,113.68
GCP,us-west-2,general,8,8,500,1.66,On-Demand,720,103.21
AWS,us-west-2,compute,4,32,200,4.22,On-Demand,720,121.78
AWS,ap-south-1,general,8,8,1000,2.63,On-Demand,720,139.87
AWS,us-east-1,compute,4,32,200,4.36,On-Demand,360,123.04
GCP,us-west-2,memory,4,32,200,3.88,Reserved,360,81.2
AWS,ap-south-1,memory,16,64,200,2.64,On-Demand,360,242.36
GCP,eu-west-1,compute,8,64,100,1.12,Reserved,360,112.3
Azure,us-west-2,compute,2,64,1000,4.61,Reserved,720,144.46
Azure,us-east-1,memory,16,8,200,1.65,On-Demand,360,162.8
AWS,ap-south-1,compute,4,32,100,2.11,Reserved,360,70.77
Azure,ap-south-1,memory,2,32,100,1.93,On-Demand,360,85.75
Azure,eu-west-1,general,4,16,500,0.79,Reserved,720,62
Azure,eu-west-1,memory,8,32,1000,3.63,On-Demand,720,191.59
AWS,us-east-1,memory,2,16,200,4.12,On-Demand,360,83.48
Azure,eu-west-1,compute,4,8,100,0.81,On-Demand,720,55.64
AWS,us-west-2,memory,2,32,100,3.16,On-Demand,720,92.74
GCP,us-east-1,general,16,8,200,3.11,On-Demand,360,159.78
GCP,eu-west-1,memory,4,16,1000,4.3,Reserved,360,93.09
AWS,us-west-2,memory,16,16,100,4.2,On-Demand,360,184.7
AWS,us-east-1,memory,2,8,500,3.68,On-Demand,720,81.82
Azure,ap-south-1,general,4,32,500,2.22,On-Demand,720,123.14
GCP,us-east-1,general,4,8,1000,1.5,Reserved,720,68.19
Azure,ap-south-1,memory,4,16,1000,1.89,On-Demand,360,120.13
GCP,us-east-1,compute,8,8,500,4.76,On-Demand,720,129.71
Azure,ap-south-1,compute,8,8,500,1.51,On-Demand,360,112.65
Azure,us-east-1,general,2,8,100,1.37,Reserved,360,32.53
GCP,us-east-1,compute,2,64,500,3.98,Reserved,360,111.44
Azure,eu-west-1,memory,4,64,500,4.71,On-Demand,360,193.71
GCP,us-east-1,general,4,32,100,4.71,Reserved,720,83.24
AWS,us-east-1,general,8,64,1000,4.59,Reserved,720,169.86
Azure,us-west-2,general,8,64,500,2.55,On-Demand,720,204.8
GCP,us-east-1,memory,8,64,500,4.2,Reserved,360,143.57
GCP,ap-south-1,general,16,8,100,2.13,On-Demand,720,147.13
Azure,us-west-2,general,8,8,500,3.24,On-Demand,360,129
GCP,ap-south-1,general,16,16,200,2.91,On-Demand,720,168.71
Azure,us-west-2,memory,16,16,200,4.57,On-Demand,720,202.16
Azure,ap-south-1,memory,8,8,100,2.05,Reserved,720,71.18
AWS,ap-south-1,general,4,32,100,3.5,On-Demand,360,110.8
AWS,ap-south-1,compute,4,16,200,4.48,On-Demand,360,101.72
AWS,us-east-1,general,2,8,500,1.65,Reserved,720,45.76
Azure,eu-west-1,memory,8,32,500,1.32,On-Demand,720,146.14
Azure,eu-west-1,memory,2,32,100,3.86,Reserved,360,74.87
GCP,us-west-2,general,16,16,500,1.19,Reserved,720,120.12
AWS,us-east-1,compute,4,8,500,4.04,On-Demand,720,100.06
AWS,eu-west-1,memory,8,32,500,1.27,On-Demand,360,138.73
GCP,eu-west-1,general,4,64,500,3.02,Reserved,720,115.79
AWS,us-east-1,general,4,8,200,3.99,Reserved,720,62
AWS,us-west-2,memory,4,8,500,4.83,On-Demand,720,107.17
AWS,us-west-2,memory,4,64,500,4.72,On-Demand,720,184.58
GCP,us-east-1,compute,4,16,200,0.76,On-Demand,720,64.83
AWS,ap-south-1,compute,4,16,500,2.38,On-Demand,720,96.32
Azure,us-west-2,memory,4,32,500,2.18,On-Demand,360,122.77
AWS,eu-west-1,compute,4,16,200,3.67,Reserved,720,67.99
Azure,ap-south-1,compute,2,64,1000,3.55,Reserved,360,137.25
AWS,us-west-2,general,2,8,500,1.71,Reserved,720,46.14
Azure,ap-south-1,general,16,64,200,4.31,On-Demand,720,270.26
AWS,eu-west-1,memory,8,16,200,4.58,On-Demand,720,132.62
Azure,us-west-2,memory,8,8,1000,2.96,On-Demand,720,149.98
Azure,us-east-1,general,2,8,500,1.24,On-Demand,720,62.85
AWS,us-east-1,memory,8,8,200,2.18,On-Demand,360,99.82
GCP,us-west-2,general,4,64,1000,1.5,On-Demand,720,169.2
AWS,us-west-2,compute,4,8,200,2.08,On-Demand,720,68.92
GCP,us-west-2,memory,4,32,100,1.21,On-Demand,360,85.68
GCP,eu-west-1,general,8,64,200,0.82,Reserved,360,113.53
GCP,ap-south-1,compute,16,64,100,2.56,Reserved,360,162.2
GCP,us-east-1,compute,4,64,200,0.8,Reserved,360,92.89
GCP,eu-west-1,compute,8,16,100,2.44,On-Demand,720,103.42
GCP,eu-west-1,general,16,8,100,2.76,On-Demand,360,152.51
AWS,us-east-1,general,2,16,200,1.23,On-Demand,360,57.47
Azure,us-east-1,compute,8,32,100,3.21,On-Demand,360,145.1
Azure,us-west-2,compute,4,16,1000,2.12,On-Demand,720,122.3
AWS,us-west-2,memory,2,8,1000,4.23,On-Demand,360,109.27
AWS,us-west-2,general,4,8,1000,0.88,Reserved,720,67.77
AWS,ap-south-1,memory,8,32,1000,3.3,On-Demand,720,179.5
GCP,us-east-1,general,2,32,100,4.35,On-Demand,360,98.28
GCP,eu-west-1,compute,4,64,200,2.13,On-Demand,720,140.38
Azure,us-west-2,general,4,64,200,2.79,Reserved,360,116.2
AWS,ap-south-1,general,2,8,500,1.67,On-Demand,360,63.73
Azure,ap-south-1,memory,4,16,100,4.58,On-Demand,720,103.03
Azure,ap-south-1,compute,4,64,200,4.14,On-Demand,360,174.15
GCP,us-west-2,compute,4,16,500,2.98,On-Demand,360,96.63
GCP,eu-west-1,general,8,16,500,4.33,On-Demand,360,136.68
Azure,us-west-2,general,2,64,200,2.41,On-Demand,360,142.05
GCP,eu-west-1,memory,2,32,100,4.3,Reserved,360,70.45
GCP,ap-south-1,general,4,8,1000,3.64,Reserved,360,81.37
GCP,us-west-2,memory,2,16,200,4.51,On-Demand,360,82.64
Azure,us-west-2,compute,4,16,100,2.17,Reserved,720,57.78
Azure,us-west-2,memory,8,8,100,0.76,On-Demand,360,86.67
Azure,ap-south-1,compute,4,32,1000,1.19,On-Demand,360,137.04
AWS,us-east-1,compute,2,8,200,2.24,On-Demand,720,55.36
Azure,eu-west-1,memory,2,8,500,2.19,On-Demand,720,71.83
GCP,eu-west-1,compute,2,8,100,4.56,On-Demand,720,68.15
Azure,us-west-2,general,4,64,1000,4.8,Reserved,360,157.1
AWS,eu-west-1,compute,8,64,100,0.8,On-Demand,360,161.3
GCP,ap-south-1,compute,2,16,500,1.99,Reserved,360,53.22
Azure,eu-west-1,memory,8,16,100,1.01,On-Demand,720,100.79
Azure,us-east-1,general,16,16,200,2.3,On-Demand,720,180.7
GCP,ap-south-1,general,8,32,200,1.21,On-Demand,360,118.46
Azure,ap-south-1,memory,2,8,100,1.76,Reserved,360,35.18
AWS,us-west-2,general,2,32,500,3.83,On-Demand,720,116.77
GCP,eu-west-1,memory,8,8,100,2.08,On-Demand,360,89.7
Azure,us-west-2,compute,4,64,200,1.09,On-Demand,720,145.33
GCP,ap-south-1,compute,8,16,1000,1.78,On-Demand,360,136.25
Azure,ap-south-1,general,8,8,500,4.54,On-Demand,720,141.29
Azure,us-west-2,compute,8,16,1000,1.57,On-Demand,720,148.61
GCP,ap-south-1,general,8,16,200,2.51,On-Demand,720,108.29
Azure,eu-west-1,general,8,32,100,1.1,On-Demand,360,125.16
Azure,ap-south-1,memory,2,8,200,1.07,Reserved,360,33.89
GCP,us-east-1,memory,4,64,100,1.6,On-Demand,360,131.57
Azure,us-west-2,general,4,64,100,1.94,On-Demand,720,148.64
Azure,us-west-2,general,16,64,200,3.55,On-Demand,720,263.08
GCP,us-west-2,compute,4,32,100,4.64,Reserved,720,82.81
AWS,eu-west-1,general,4,8,500,0.86,Reserved,360,51.44
AWS,us-west-2,compute,4,64,500,4.78,On-Demand,720,185.12
AWS,ap-south-1,memory,8,32,1000,4.56,On-Demand,360,190.84
AWS,ap-south-1,general,2,32,200,2.33,On-Demand,720,89.77
AWS,us-east-1,general,2,8,1000,2.7,On-Demand,720,95.5
AWS,us-east-1,compute,2,16,1000,0.65,Reserved,360,63.54
GCP,ap-south-1,compute,2,8,500,2.23,On-Demand,720,65.33
GCP,us-east-1,memory,4,32,200,1.85,Reserved,360,68.71
GCP,eu-west-1,memory,2,32,100,2.62,Reserved,720,60.11
Azure,us-east-1,compute,4,16,500,4.51,On-Demand,720,121.26
AWS,eu-west-1,memory,2,8,1000,2.66,On-Demand,720,95.14
AWS,us-west-2,general,2,16,1000,3.11,Reserved,360,79.48
GCP,ap-south-1,compute,4,32,500,3.58,On-Demand,720,123.04
Azure,eu-west-1,compute,4,16,200,3.69,On-Demand,720,99.34
Azure,ap-south-1,general,8,32,100,0.57,On-Demand,720,120.15
GCP,eu-west-1,memory,16,8,100,3.26,Reserved,360,112.89
AWS,us-west-2,memory,4,8,1000,0.92,On-Demand,720,94.48
Azure,us-east-1,memory,8,8,500,4.19,On-Demand,720,137.98
AWS,us-west-2,memory,8,16,1000,4.26,On-Demand,720,165.74
Azure,eu-west-1,memory,16,8,100,2.18,Reserved,360,117.42
AWS,eu-west-1,compute,4,8,200,3.75,Reserved,360,60.44
Azure,ap-south-1,general,4,64,500,4.94,On-Demand,360,195.89
AWS,us-west-2,memory,2,16,500,0.97,Reserved,360,49.41
AWS,us-east-1,memory,16,32,1000,4.13,Reserved,720,177.82
AWS,ap-south-1,compute,16,8,200,1.46,Reserved,720,110.4
GCP,ap-south-1,compute,8,8,1000,3.86,Reserved,360,103.24
AWS,eu-west-1,memory,4,32,500,4.81,Reserved,720,101.22
AWS,us-west-2,compute,16,64,1000,1.18,On-Demand,360,265.22
Azure,eu-west-1,compute,8,64,100,4.15,On-Demand,360,201.02
Azure,ap-south-1,general,16,32,1000,3.25,On-Demand,360,251
GCP,ap-south-1,compute,2,32,100,2.44,On-Demand,720,81.95
Azure,us-east-1,general,16,16,500,2.64,Reserved,720,142.63
AWS,eu-west-1,compute,8,8,1000,1.26,On-Demand,720,127.54
GCP,ap-south-1,compute,4,8,1000,3.43,On-Demand,720,111.22
GCP,us-west-2,general,2,16,100,4.24,On-Demand,360,76.06
GCP,us-west-2,memory,2,8,1000,1.41,On-Demand,360,79.7
AWS,us-west-2,general,2,16,500,4.06,Reserved,720,69.44
AWS,us-west-2,general,4,16,100,3,On-Demand,720,83.9
Azure,us-west-2,general,4,16,200,2.52,On-Demand,720,88.28
Azure,us-west-2,general,2,8,200,2.78,Reserved,360,45.53
Azure,eu-west-1,compute,4,32,100,2.95,On-Demand,720,111.14
GCP,us-west-2,memory,2,8,200,4.12,On-Demand,720,68.67
AWS,ap-south-1,general,8,8,1000,1.1,On-Demand,360,126.1
Azure,us-east-1,general,2,64,200,2.07,Reserved,360,99.97
AWS,us-west-2,compute,16,64,1000,1.32,On-Demand,720,266.48
GCP,us-east-1,general,2,8,100,4.25,On-Demand,720,65.5
AWS,eu-west-1,compute,2,16,100,0.76,On-Demand,720,48.74
AWS,us-east-1,memory,4,64,1000,0.59,On-Demand,360,169.91
GCP,us-east-1,memory,4,64,1000,1.03,Reserved,720,118.93
Azure,eu-west-1,memory,8,32,200,2.03,Reserved,360,99.84
AWS,us-west-2,memory,16,32,200,3.99,On-Demand,720,209.71
AWS,ap-south-1,compute,4,16,100,4.74,Reserved,720,71.68
GCP,us-west-2,compute,8,16,1000,3.33,Reserved,360,107.64
AWS,ap-south-1,general,8,64,100,4.08,On-Demand,720,190.82
AWS,ap-south-1,memory,2,64,1000,3.36,Reserved,720,129.48
AWS,eu-west-1,memory,4,32,1000,3.73,On-Demand,360,153.37
GCP,ap-south-1,memory,8,32,1000,1.77,On-Demand,360,157.44
AWS,us-east-1,memory,4,16,500,2.1,On-Demand,720,93.8
GCP,us-east-1,general,4,8,100,2.29,Reserved,720,45.36
Azure,ap-south-1,memory,4,8,1000,0.76,On-Demand,360,97.69
AWS,us-east-1,memory,16,8,100,2.97,On-Demand,720,162.43
GCP,eu-west-1,compute,4,64,200,2.9,On-Demand,360,146.96
GCP,ap-south-1,general,16,16,500,2.8,On-Demand,720,180.6
AWS,eu-west-1,memory,4,32,100,0.64,On-Demand,720,85.06
GCP,ap-south-1,compute,8,16,1000,4.38,On-Demand,720,158.48
Azure,ap-south-1,general,4,16,500,3.73,On-Demand,720,113.89
Azure,ap-south-1,general,8,64,100,3.15,On-Demand,360,191.57
Azure,us-east-1,memory,2,32,1000,2.05,On-Demand,720,129.41
Azure,ap-south-1,compute,2,32,200,2.65,On-Demand,360,97.28
GCP,eu-west-1,compute,2,64,500,1.49,On-Demand,720,133.48
GCP,us-west-2,memory,8,8,100,2.71,On-Demand,360,95.09
Azure,eu-west-1,general,4,64,100,1.39,On-Demand,360,143.44
Azure,us-west-2,memory,2,16,200,1.79,On-Demand,720,65.64
Azure,ap-south-1,memory,2,16,200,4.12,Reserved,720,63.11
Azure,eu-west-1,memory,2,32,200,2.72,On-Demand,720,97.94
Azure,us-west-2,memory,8,32,500,1.18,Reserved,360,104.27
GCP,eu-west-1,memory,2,32,500,2,On-Demand,720,95.28
Azure,ap-south-1,general,4,16,500,4.01,On-Demand,720,116.54
Azure,ap-south-1,general,8,32,100,4.61,On-Demand,720,158.33
AWS,eu-west-1,compute,2,8,200,3.68,Reserved,720,49.19
GCP,ap-south-1,memory,4,16,1000,1.98,On-Demand,360,109.46
Azure,ap-south-1,general,2,32,1000,4.39,On-Demand,360,151.53
GCP,eu-west-1,memory,2,32,500,1.58,On-Demand,360,91.69
AWS,us-west-2,memory,4,8,500,0.6,Reserved,360,49.75
AWS,us-west-2,memory,2,32,200,0.71,On-Demand,720,75.19
Azure,ap-south-1,compute,16,32,1000,2.55,Reserved,360,175.96
Azure,us-east-1,compute,4,16,100,4.49,On-Demand,720,102.18
Azure,us-west-2,compute,16,16,200,3.61,On-Demand,360,193.08
Azure,ap-south-1,memory,4,64,200,2.08,On-Demand,360,154.69
AWS,us-west-2,memory,8,16,100,2.82,On-Demand,720,112.28
GCP,ap-south-1,general,4,8,500,4.71,On-Demand,720,100.79
Azure,us-east-1,general,4,32,500,3.82,Reserved,720,99.55
GCP,us-east-1,general,4,16,1000,0.94,On-Demand,720,100.57
Azure,us-west-2,general,2,32,1000,1.23,Reserved,360,87.6
Azure,us-west-2,compute,4,32,500,1.75,On-Demand,720,118.7
AWS,us-east-1,memory,2,8,500,0.8,On-Demand,720,55.9
Azure,eu-west-1,compute,2,64,500,1.62,On-Demand,720,148.76
Azure,us-west-2,general,2,8,100,2.45,On-Demand,360,55.39
Azure,us-west-2,general,16,64,100,1.9,Reserved,720,174.79
AWS,us-west-2,compute,4,64,100,4.55,On-Demand,720,165.05
GCP,ap-south-1,general,4,32,200,3.82,On-Demand,360,112.27
AWS,eu-west-1,compute,8,16,200,2.4,Reserved,360,81.36
Azure,eu-west-1,general,4,64,100,2.22,On-Demand,360,151.28
Azure,ap-south-1,general,16,32,200,3.64,On-Demand,360,216.89
Azure,us-east-1,general,16,8,200,2.43,On-Demand,360,170.17
GCP,ap-south-1,memory,16,8,1000,4.61,On-Demand,360,206.81
GCP,us-east-1,memory,2,16,1000,1.69,Reserved,720,66.77
Azure,us-east-1,memory,4,32,1000,4.27,On-Demand,720,166.14
Azure,eu-west-1,memory,4,32,500,4.17,On-Demand,360,141.57
GCP,us-west-2,compute,2,8,1000,0.88,On-Demand,360,75.16
AWS,eu-west-1,general,8,8,100,2.09,On-Demand,720,94.51
AWS,us-east-1,compute,4,32,1000,0.64,On-Demand,720,125.56
GCP,us-east-1,general,16,8,500,3.74,On-Demand,720,177.99
GCP,ap-south-1,memory,2,32,500,1.22,Reserved,360,63.8
Azure,us-west-2,compute,16,8,100,3.02,Reserved,720,123.14
GCP,eu-west-1,memory,4,64,100,1.05,Reserved,720,91.35
GCP,eu-west-1,general,16,16,1000,2.52,On-Demand,720,199.58
Azure,eu-west-1,compute,8,8,100,3.56,On-Demand,720,113.13
GCP,eu-west-1,general,2,8,100,3.07,On-Demand,360,55.41
Azure,us-east-1,memory,8,32,1000,4.12,On-Demand,360,196.22
AWS,ap-south-1,memory,8,8,1000,3.21,Reserved,720,104.46
AWS,us-west-2,memory,2,8,200,1.34,On-Demand,720,47.26
AWS,ap-south-1,memory,8,8,200,3.24,On-Demand,720,109.36
Azure,ap-south-1,general,4,32,500,2.36,Reserved,720,89.62
AWS,us-west-2,general,2,16,100,2.79,Reserved,360,48.25
AWS,eu-west-1,compute,2,64,1000,1.32,On-Demand,360,161.48
Azure,us-east-1,memory,16,8,500,4.98,Reserved,720,150.08
Azure,us-west-2,memory,8,8,200,3.29,On-Demand,720,115.3
AWS,ap-south-1,memory,4,16,100,3.75,On-Demand,720,90.65
AWS,eu-west-1,general,8,64,200,4.04,On-Demand,720,194.96
AWS,us-east-1,compute,4,16,1000,3.01,On-Demand,720,124.49
GCP,us-west-2,general,16,16,500,1.49,On-Demand,360,169.39
Azure,us-east-1,memory,8,16,500,3.81,Reserved,720,105.23
Azure,us-east-1,general,8,8,200,1.67,On-Demand,720,99.99
Azure,eu-west-1,memory,2,16,200,4.09,Reserved,360,62.91
Azure,ap-south-1,memory,8,64,200,3.7,On-Demand,720,201.5
AWS,us-west-2,compute,2,8,100,4.48,On-Demand,720,71.02
Azure,eu-west-1,compute,2,32,200,2.51,On-Demand,720,95.96
GCP,us-east-1,general,2,16,500,3.92,Reserved,360,65.1
GCP,us-west-2,general,16,64,100,2.15,On-Demand,720,221.78
AWS,eu-west-1,compute,16,16,500,3.39,On-Demand,360,195.41
AWS,us-west-2,memory,4,8,500,3.34,On-Demand,720,93.76
Azure,eu-west-1,memory,4,16,100,0.64,On-Demand,720,65.79
AWS,ap-south-1,compute,2,16,1000,2.72,On-Demand,360,106.88
AWS,us-west-2,general,4,16,200,3.87,On-Demand,360,96.23
AWS,ap-south-1,compute,4,32,500,1.6,Reserved,720,80.42
GCP,ap-south-1,memory,8,8,1000,3.95,On-Demand,720,144.16
Azure,us-east-1,memory,2,64,1000,3.83,On-Demand,360,193.27
AWS,ap-south-1,compute,16,16,1000,2.99,On-Demand,720,214.31
Azure,us-west-2,memory,4,16,200,1.81,On-Demand,360,81.57
Azure,ap-south-1,general,16,16,200,4.67,Reserved,720,146.23
Azure,ap-south-1,general,8,16,200,1.82,Reserved,720,81.48
GCP,eu-west-1,compute,8,8,500,1.47,On-Demand,360,101.58
Azure,us-west-2,general,2,16,1000,4.1,On-Demand,720,125.27
Azure,ap-south-1,memory,4,16,500,2.27,On-Demand,720,100.1
AWS,us-east-1,compute,2,16,1000,2.78,Reserved,720,77.34
AWS,ap-south-1,compute,2,32,500,0.79,On-Demand,360,89.41
GCP,eu-west-1,memory,2,16,200,1.85,On-Demand,720,59.9
Azure,us-west-2,memory,2,8,100,1.41,On-Demand,720,45.56
GCP,ap-south-1,general,8,8,200,1.7,On-Demand,720,90.72
Azure,us-west-2,memory,2,16,1000,4.93,On-Demand,720,133.11
GCP,us-west-2,compute,4,8,500,0.78,Reserved,720,48.37
Azure,ap-south-1,compute,8,8,500,1.81,On-Demand,720,115.49
AWS,us-west-2,general,16,8,1000,2.12,Reserved,720,140.6
GCP,us-east-1,memory,2,64,1000,2.59,On-Demand,360,164.26
AWS,eu-west-1,memory,16,64,100,4.3,On-Demand,360,252.8
Azure,us-west-2,memory,4,16,500,4.55,Reserved,720,87.58
GCP,us-east-1,compute,8,8,1000,2.97,On-Demand,720,135.78
AWS,us-west-2,memory,4,64,200,4.54,Reserved,360,122.01
AWS,ap-south-1,memory,2,32,500,0.68,On-Demand,360,88.42
AWS,eu-west-1,memory,4,32,100,4.96,On-Demand,360,123.94
Azure,us-east-1,compute,16,32,500,0.85,On-Demand,720,204.7
GCP,eu-west-1,general,16,64,500,4.4,On-Demand,720,258.11
AWS,us-west-2,compute,4,64,100,4.1,On-Demand,720,161
Azure,us-east-1,memory,8,16,1000,3.99,On-Demand,720,171.48
Azure,eu-west-1,general,16,16,1000,2.59,On-Demand,720,221.25
Azure,eu-west-1,general,2,16,100,1.59,On-Demand,720,59.02
GCP,us-east-1,memory,8,16,100,0.81,On-Demand,720,89.48
