job_category,job_title,company_name,location,experience,experience_level,salary,salary_category,skills,skill_count,posted_time,job_description,job_link,source
Data Analyst,data analyst (kannada speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)kannada proficiency (spoken)research and analyticsmap study,9,2 weeks ago,"key responsibilities:

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-kannada-speaker-job-at-peroptyx1774023424,internshala
Data Analyst,data analyst (marathi speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)marathi proficiency(written)research and analyticsmap study,8,2 weeks ago,"key responsibilities:

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-marathi-speaker-job-at-peroptyx1774023194,internshala
Data Analyst,data analyst (odia/oriya speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)odia proficiency(written)research and analyticsmap studydata analysis,9,2 weeks ago,"key responsibilities:

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-odia-oriya-speaker-job-at-peroptyx1774022923,internshala
Data Analyst,data analyst (english speaker),"peroptyx (castlebar, ireland)",work from home,0,Not Disclosed, 360000 - 700000,Medium,english proficiency (written)research and analyticsmap studydata analysis,8,2 weeks ago,"key responsibilities: 

1. provide ground truth for mapping data specific to your town, city, or country
2. review digital mapping application data to ensure accuracy
3. validate navigation routes to confirm they are accurate and safe
4. verify the correctness of business names and opening hours
5. check distance accuracy from starting points to end destinations
6. enhance user experience through precise and reliable map data
7. plan work around a flexible schedule, including weekends or late evenings
8. perform research to validate and improve mapping data

additional information:

1. work up to 20 hours per week
2. earn a competitive rate of pay
3. develop and refine research skills
4. avoid long commutes
5. work from the comfort of your home office
6. enjoy flexible working hours based on your schedule            ",/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1774022555,internshala
Data Analyst,quantitative analyst,time line investments,"anantapur, mysuru, bangalore",1,Fresher, 300000 - 400000,Low,mathematicsstatisticsdata sciencefinancial analysisadvanced excelbig data analyticsdata analysis,8,2 weeks ago,"support business and operational decision-making through structured data analysis, reporting, and insight generation. work closely with internal teams to interpret data, prepare reports, and contribute to process improvements. ideal for individuals with strong quantitative aptitude, analytical thinking, and proficiency in excel.

key responsibilities:

1. analyze business and operational data to identify trends and patterns.
2. prepare structured reports, dashboards, and summaries using excel.
3. perform arithmetic and quantitative analysis to support decision-making.
4. assist in documenting business requirements and workflows.
5. collaborate with technology and functional teams.
6. support data validation and accuracy checks.
7. contribute to performance tracking and mis reporting.

what the role offers:

1. exposure to real-world fintech and trading system environments.
2. structured learning and development.
3. hands-on experience with business data and reporting.
4. growth opportunities within the organization.            ",/job/detail/quantitative-analyst-job-in-multiple-locations-at-time-line-investments1774010909,internshala
Data Analyst,hr analyst,torrins anthem private limited,kolkata,1,Fresher, 350000 - 384000,Low,report writingdatabase management system (dbms)data analysisreport generationperformance monitoring,9,2 weeks ago,"as a hr analyst at torrins anthem private limited, you will play a crucial role in driving the company's hr strategies through your expertise in data analysis, report generation, and database management system (dbms). your primary responsibility will be to monitor and analyze employee performance to ensure the company's human resources are managed effectively. 

key responsibilities:

1. conduct thorough data analysis to identify trends and patterns in employee performance.
2. generate regular reports on key hr metrics to provide insights for decision-making.
3. develop and maintain the company's database management system to ensure data accuracy and integrity.
4. collaborate with hr teams to create performance monitoring tools and systems.
5. prepare detailed reports on employee performance evaluations and feedback.
6. analyze and interpret data to provide recommendations for hr strategies and initiatives.
7. stay updated on industry trends and best practices in data analysis and hr analytics to continuously improve processes. 

if you are a skilled hr analyst with a passion for data and a drive for excellence, we invite you to join our dynamic team at torrins anthem private limited. take the next step in your career and make a real impact on our organization's success. apply now!            ",/job/detail/hr-analyst-job-in-kolkata-at-torrins-anthem-private-limited1774010367,internshala
Other,performance marketing executive,iide education private limited,mumbai,0,Not Disclosed, 500000 - 800000,Medium,creativitygoogle analyticsartificial intelligencedata analysis,5,2 weeks ago,"job details:

1. work timings: 9:30 am – 6:30 pm
2. working days: monday to saturday
3. work mode: on-site
4. location: mumbai
5. reports to: performance marketing manager

about iide:

iide is asia’s most trusted digital marketing institute offering government-recognised online, offline, and postgraduate programs. we empower students, graduates, and working professionals to transform their careers and stay future-ready in the ever-evolving digital landscape.

about the role:

1. as a performance marketing executive based in mumbai, you will play a pivotal role in driving lead generation and revenue growth through data-driven paid marketing campaigns.
2. this role involves managing and optimizing campaigns across multiple digital platforms while ensuring maximum roi and performance efficiency.
3. you will collaborate with creative, content, and analytics teams to execute high-performing campaigns aligned with business objectives.

key responsibilities:

paid campaign management

1. plan, execute, and optimize paid campaigns across platforms such as google ads, meta ads, and other relevant channels.
2. monitor budgets, bids, and targeting strategies to ensure optimal campaign performance.

performance optimization & analysis

1. track key performance metrics, including cpl, cpa, roas, and conversion rates.
2. conduct a/b testing on ad creatives, copies, and landing pages to improve results.

reporting & insights

1. prepare weekly and monthly performance reports with actionable insights.
2. analyze data trends to recommend strategies for scaling and improving campaign effectiveness.

additional duties:

1. coordinate with the creative and content teams to develop high-converting ad creatives and landing pages.
2. stay updated with the latest performance marketing trends and platform updates.
3. perform any other reasonable duties as requested by management, aligned with the broad scope of the position.

must-have:

1. 1–3 years of experience in performance marketing or paid advertising roles.
2. proven experience in managing google ads and meta ads campaigns.
3. strong analytical skills with experience in performance tracking tools.
4. ability to manage budgets and optimize campaigns for roi.

should have:

1. experience with marketing automation tools and crm integration.
2. understanding of landing page optimization and conversion rate optimization (cro).

nice to have:

1. certification in google ads, meta blueprint, or digital marketing.
2. experience in the education or edtech industry.            ",/job/detail/fresher-performance-marketing-executive-job-in-mumbai-at-iide-education-private-limited1774003617,internshala
AI Engineer,junior robotics trainee,unifirst robotics,bangalore,1,Fresher, 240000 - 420000,Low,pythonroboticsraspberry piembedded systemsarduinoc programmingc++ programming+1 more,7,2 weeks ago,"1. deliver engaging classes on robotics, coding, ai, and stem for students (age 7–18) – both online and in school premises.
2. conduct technical workshops, seminars, and hands-on sessions for engineering and diploma students in colleges.
3. customize sessions based on student age group, academic background, and skill level (basic to advanced).
4. evaluate students' learning outcomes and provide feedback for improvement and certification readiness.
5. design and update interactive curriculum modules in robotics, iot, python, scratch, ai, arduino, raspberry pi and ros.
6. develop project-based learning activities, coding exercises, quizzes, and assessments.            ",/job/detail/junior-robotics-trainee-job-in-bangalore-at-unifirst-robotics1773988827,internshala
AI Engineer,ai influencer content creator,occulor solutions,navi mumbai,0,Not Disclosed, 360000 - 600000,Low,artificial intelligenceprompt engineering,4,2 weeks ago,"key responsibilities: 

1. generating images using tools such as midjourney, sdxl, or comfyui.
2. using video tools such as higgsfield, runway, pika, or sora-type tools.
3. using voice tools such as elevenlabs and voice cloning software.
4. writing prompts (very important).            ",/job/detail/fresher-ai-influencer-content-creator-job-in-navi-mumbai-at-occulor-solutions1773990482,internshala
AI Engineer,ai video editor,appkit studio private limited,work from home,1,Fresher, 240000 - 500000,Low,storytellingfacebook adsgenerative ai toolsai video generationheygen (genai),8,2 weeks ago,"we are looking for a creative and performance-driven ai video creator who can own the complete video creation process using generative ai and professional editing tools. this is a hands-on role focused on creating high-impact video ads and content that drive engagement and conversions.

key responsibilities:

1. create end-to-end ai-generated video ads, from script and prompts to final edited output.
2. write and optimize scripts, hooks, and prompts to ensure high retention and performance.
3. edit and finalize videos using professional tools, ensuring clean visuals, audio sync, and platform readiness.
4. continuously improve video creatives based on performance data, feedback, and ad results.            ",/job/detail/remote-ai-video-editor-job-at-appkit-studio-private-limited1773988337,internshala
AI Engineer,ai prompt engineering mentor (junior ai specialist),internify,"kochi, ernakulam                                                        (hybrid)",1,Fresher, 200000 - 360000,Low,artificial intelligenceoptimizationprompt engineering,4,2 weeks ago,"key responsibilities: 

1. create and optimize ai prompts
2. test and improve ai-generated outputs.
3. guide interns on prompt writing techniques.
4. stay updated with ai trends.            ",/job/detail/ai-prompt-engineering-mentor-junior-ai-specialist-job-in-multiple-locations-at-internify1773913117,internshala
AI Engineer,email & text marketing automation specialist,digital visibility concepts,work from home,1,Fresher, 3840 - 6720,Low,email marketingcopywritingenglish proficiency (spoken)english proficiency (written)data analysismailchimphubspot+2 more,9,2 weeks ago,"we are a u.s.-based digital marketing agency building an integrated marketing delivery team. we need an email & text marketing automation specialist who can turn dormant customer databases into active revenue streams.

key responsibilities:

1. build and manage email and sms marketing campaigns on bird.com (formerly messagebird). experience with mailchimp, klaviyo, activecampaign, or hubspot transfers directly.
2. clean, validate, and segment messy customer lists from multiple sources into usable audiences (active, dormant, deep dormant, by service type).
3. build marketing automation workflows, including triggers, branching logic, a/b testing, time delays, and conditional sequences.
4. write email and sms copy that sounds like a real person, with subject lines that get opened and ctas that drive action, targeting u.s. business audiences.
5. manage deliverability by monitoring bounce rates, spam complaints, and inbox placement; understand spf, dkim, dmarc, and warm-up schedules.
6. build specific campaign types, including dormant customer reactivation, lead nurture sequences, referral programs, review request automation, post-purchase follow-ups, birthday/anniversary campaigns, and newsletters.
7. report on performance with revenue attribution; open rates and click rates are table stakes, with focus on how much revenue email/text generates for the client’s business.
8. coordinate with ppc, seo, and retargeting teams; email/text is one channel in a six-channel integrated marketing system, ensuring reactivated customers are excluded from ppc targeting and website visitor data feeds into email sequences.

your first client:

a high-end home theater and automation company in atlanta, ga. they have 7,000+ customer records spread across 4 fragmented lists that have not been emailed in over 18 months. your first job is to clean that data, segment it, and launch a reactivation campaign that puts measurable revenue on the board within 60 days.

job details:

1. company: u.s. digital marketing agency (remote position)
2. location: remote — india-based candidates. must have 4–6 hours daily overlap with u.s. eastern time.
3. compensation: ~$320–$560/month depending on experience
4. hours: full-time role with an initial ramp-up period, scaling to full-time within 60–90 days.
5. duration: permanent role on a growing team.

compensation & structure:

1. monthly salary based on experience
2. initially structured with a ramp-up period, scaling to full-time within 60–90 days
3. this is a long-term, permanent role on a growing team—not a one-off project.
4. time tracked via trackabi with screenshots enabled. non-negotiable.
5. payment via payoneer or wise.

important: you must answer all three screening questions below. applications missing answers will not be reviewed.            ",/job/detail/remote-email-text-marketing-automation-specialist-job-at-digital-visibility-concepts1773898904,internshala
Other,associate growth operations,growthschool,bangalore,1,Fresher, 400000 - 800000,Medium,javapythondigital marketingteachingcontent marketingresearch and analyticsdata analysis,7,2 weeks ago,"we are looking for a 'growth & operations associate' to join growthschool under ai for engineers category, helping engineers level up their careers through expert-led workshops and mentorship.

this is a high-ownership role where you will drive top-of-funnel growth, manage end-to-end workshop logistics, create content, host live sessions, and use data to continuously improve outcomes.

key responsibilities:

a. top-of-funnel (tofu) growth:
1. own and execute strategies to grow awareness and attract the right engineering audience.
2. identify and test new acquisition channels, including organic, paid, community, partnerships, and referrals.
3. monitor funnel metrics and iterate to improve reach, ctr, and sign-up rates.
4. build and manage lead pipelines and run campaigns that convert cold audiences into warm community members.

b. workshop operations and logistics:
1. manage end-to-end logistics for every workshop, including scheduling, platform setup (zoom), attendee communication, and post-event follow-ups.
2. source, reach out to, and onboard mentors and industry experts.
3. research profiles, draft personalized outreach, and manage the relationship pipeline.
4. maintain and improve sops and checklists for scalable workshop production.

c. content research:
1. research trending topics, skill gaps, and emerging tools in the engineering space.
2. compile structured briefs for workshops, guest speakers, and social content.
3. track competitor programs and audience feedback to identify content opportunities.

d. hosting and community presence:
1. host live sessions on video, including opening sessions, introducing mentors, and facilitating q&a.
2. act as the on-screen face of the engineers category for community-facing touchpoints.
3. create short-form video clips or introductory content for social distribution.

e. data analysis and decision-making:
1. track key growth and engagement metrics across channels, workshops, and content.
2. build and maintain dashboards or reports to provide team visibility.
3. present clear, data-backed recommendations to the founding team regularly.

why growthschool?

1. ownership from day one
2. direct access to leadership and fast feedback loops
3. work with top practitioners in the engineering world
4. results-driven culture
5. mission that matters: helping engineers level up their careers            ",/job/detail/associate-growth-operations-job-in-bangalore-at-growthschool1773898435,internshala
AI Engineer,ai ml developer,varahi technologies,"gandhinagar, pune",0,Not Disclosed, 200000 - 400000,Low,pythoncomputer visionneural networksartificial intelligenceartificial intelligence markup language (aiml)claude,9,2 weeks ago,"key responsibilities:

1. design, develop, and deploy end-to-end ai/ml features across the company’s product suite and enterprise client projects.
2. build and maintain agentic ai systems using orchestration frameworks (langchain/langgraph), llm apis, and fastapi for automation workflows.
3. develop and integrate voice ai pipelines (stt/tts) using whisper and tts engines for real-time and offline deployment.
4. architect and implement knowledge graphs (neo4j) and vector databases (chromadb) for multimodal rag systems.
5. build full-stack web applications using react/next.js (frontend) and node.js/python/fastapi (backend).
6. work with llms (claude, gpt, and open-source models) for fine-tuning, prompt engineering, and inference optimization.
7. deploy ml models and ai services on gcp, aws, and azure using docker, nginx, and ci/cd pipelines.
8. build dashboards, reporting tools, and data visualization components.
9. collaborate with leadership to translate business requirements into fully deployed features.            ",/job/detail/fresher-ai-ml-developer-job-in-multiple-locations-at-varahi-technologies1773895450,internshala
AI Engineer,market research trainee,survience research and consulting llp,bangalore,0,Not Disclosed, 236000 - 460000,Low,ms-wordms-excelenglish proficiency (spoken)english proficiency (written),6,2 weeks ago,"key responsibilities: 

a. project coordination:
1. assist in planning and managing online market research projects from launch to completion.
2. ensure projects are executed according to client specifications, timelines, and quotas.

b. fieldwork management:
1. coordinate with sample providers and research partners to ensure adequate respondent supply.
2. monitor project performance including completes, incidence rate (ir), drop-off rates, and quotas.

c. supplier & partner coordination:
1. communicate regularly with panel providers and partners regarding project requirements and updates.
2. manage supplier performance and ensure field progress aligns with project timelines.

d. project monitoring & reporting:
1. track daily fieldwork progress and prepare internal status updates.
2. escalate potential risks or delays proactively to senior team members.

e. data quality oversight:
1. support quality control checks including identifying speeders, straight-liners, and inconsistent responses.
2. ensure projects adhere to survience quality standards and client requirements.

f. problem solving:
1. troubleshoot issues during fieldwork such as low incidence rates, quota challenges, or response delays.
2. work with internal teams to identify solutions and maintain project momentum.

g. problem solving:
1. troubleshoot issues during fieldwork such as low incidence rates, quota challenges, or response delays.
2. work with internal teams to identify solutions and maintain project momentum.            ",/job/detail/fresher-market-research-trainee-job-in-bangalore-at-survience-research-and-consulting-llp1773860926,internshala
AI Engineer,junior ai/ml engineer,gigaforce software private limited,noida,1,Fresher, 400000 - 600000,Low,machine learningdata sciencenatural language processing (nlp)artificial intelligence,8,2 weeks ago,"key responsibilities: 

1. building and deploying end-to-end nlp and genai-driven products focused on document understanding, summarization, classification, and retrieval.
2. designing and implementing models leveraging llms (e.g., gpt, t5, bert) with capabilities like fine-tuning, instruction tuning, and prompt engineering.
3. working on scalable, cloud-based pipelines for training, serving, and monitoring models.
4. handling unstructured data from insurance-related documents such as claims, legal texts, and contracts.
5. collaborating cross-functionally with data scientists, ml engineers, product managers, and developers.
6. utilizing and contributing to open-source tools and frameworks in the ml ecosystem.
7. deploying production-ready solutions using mlops practices such as docker, kubernetes, airflow, and mlflow.
8. working on distributed and cloud systems (aws, gcp, or azure) with gpu-accelerated workflows.
9. evaluating and experimenting with open-source llms and embedding models (e.g., langchain, haystack, llamaindex, hugging face).
10. championing best practices in model validation, reproducibility, and responsible ai.            ",/job/detail/junior-ai-ml-engineer-job-in-noida-at-gigaforce-software-private-limited1773859674,internshala
AI Engineer,robotics trainer,techyguide opc private limited,"delhi, balasore, bangalore, gujarat, madhya pradesh, nagaur",0,Not Disclosed, 240000 - 300000,Low,pythonroboticsteachingarduinoc programmingfield workartificial intelligence+2 more,6,2 weeks ago,"key responsibilities:

1. deliver advanced robotics training sessions covering embedded systems, ai integration, iot, and automation.
2. train students and teachers on arduino, raspberry pi, esp32, sensors, actuators, and robotics frameworks.
3. teach programming concepts using arduino c, python, micropython, and basic ros concepts (preferred).
4. guide learners in building complex robotics projects such as autonomous robots, smart iot systems, computer vision projects, robotic arms, and automation solutions.
5. support students in national and international robotics competitions, hackathons, and exhibitions.
6. design structured curricula, lesson plans, project roadmaps, and assessment strategies.
7. troubleshoot hardware, circuit, and coding issues during lab sessions.
8. manage robotics lab setup, inventory, and equipment maintenance.
9. mentor students on innovation, prototyping, and real-world problem-solving.
10. stay updated with emerging technologies such as ai, machine learning, computer vision, and edge computing.            ",/job/detail/fresher-robotics-trainer-job-in-multiple-locations-at-techyguide-opc-private-limited1773818384,internshala
Other,associate - data quality,hyperdart,work from home,0,Not Disclosed, 315000 - 380000,Low,ms-officems-excel,2,2 weeks ago,"as an associate - data quality at hyperdart, you will play a crucial role in ensuring the accuracy and integrity of our data. this is an exciting opportunity for someone who is detail-oriented, organized, and has a strong understanding of ms excel & finance.

key responsibilities: 

1. conduct regular audits of data to identify and correct any inaccuracies or inconsistencies.
2. collaborate with cross-functional teams to establish data quality standards and best practices.
3. implement data quality procedures and protocols to maintain high standards of data integrity.
4. develop and maintain data quality reports and metrics to track progress and identify areas for improvement.
5. assist in the identification and resolution of data quality issues, including data cleansing and deduplication.
6. provide training and support to team members on data quality processes and tools.
7. stay current on industry trends and best practices in data quality management to continuously improve processes and procedures.

if you are passionate about data quality and have a keen eye for detail, we would love to have you on our team at hyperdart. join us in shaping the future of our data management practices and making a real impact on our business. apply now!            ",/job/detail/fresher-remote-associate-data-quality-job-at-hyperdart1773744520,internshala
AI Engineer,ai/ml trainee engineer,isourse,delhi,1,Fresher, 290000 - 300000,Low,pythongitmachine learningcomputer visiondeep learningdata preprocessingnumpy+1 more,7,2 weeks ago,"about us:

isource technologies is an innovation-driven company building intelligent ai solutions for real-world problems. we leverage cutting-edge llm apis and custom model development to deliver scalable, high-impact products.

role overview:

we are looking for passionate, fresh graduates to join our ai/ml team. you will work hands-on with python, numpy, the gemini api, the claude.ai api, and build custom machine learning models from scratch. this is a high-growth role with direct exposure to production ai systems.

key responsibilities:

1. write clean and efficient python code for data processing, model training, and api integration.
2. use numpy extensively for numerical computing, data manipulation, and matrix operations.
3. integrate and work with gemini api and claude.ai api to build llm-powered features.
4. design, train, and evaluate custom ml/dl models end-to-end.
5. run experiments, track metrics, and iterate on model performance.
6. collaborate with the team to ship ai features into production.

what we offer:

1. direct mentorship from senior ai engineers.
2. hands-on work with real production ai systems from day one.
3. a fast-paced and collaborative learning environment.
4. flexible working hours and a clear growth path.            ",/job/detail/ai-ml-trainee-engineer-job-in-delhi-at-isourse1773732807,internshala
AI Engineer,ai/ml developer,aaptatt,work from home,1,Fresher, 320000 - 420000,Low,pythonsqlgitmachine learningdockermicrosoft azuredata warehousing+11 more,6,2 weeks ago,"key responsibilities:

1. design, develop, and maintain end-to-end ai/ml solutions using azure databricks.
2. build and optimize data pipelines using pyspark and spark sql.
3. develop, train, evaluate, and deploy machine learning models in production environments.
4. perform data preprocessing, feature engineering, and model tuning.
5. implement scalable batch and streaming data solutions.
6. optimize spark jobs for performance, cost, and reliability.
7. collaborate with data scientists to productionize ml models.
8. ensure best practices in code quality, testing, version control, and ci/cd.
9. work with large, complex datasets across structured and semi-structured sources.
10. monitor model performance and data drift in production.
11. document technical designs, workflows, and solutions.            ",/job/detail/remote-ai-ml-developer-job-at-aaptatt1773728589,internshala
Other,senior grafana developer,aaptatt,work from home,1,Fresher, 320000 - 420000,Low,sqlgitmicrosoft azureapache sparkpysparkgrafanadatabricks,4,2 weeks ago,"key responsibilities:

a. grafana development & visualization

1. design, develop, and maintain grafana dashboards for operational, analytical, and business kpis.
2. build reusable dashboard templates, variables, and panels.
3. optimize dashboard performance for large datasets.
4. configure alerts, thresholds, and notifications for proactive monitoring.
5. integrate grafana with multiple data sources such as sql, azure services, databricks, and azure monitor.

b. sql & data analysis

6. write and optimize complex sql queries to support dashboards and reports.
7. perform data validation and ensure the accuracy of visualized metrics.
8. work with large datasets and ensure efficient query performance.
9. support ad hoc data analysis requests from stakeholders.

c. databricks & data platforms

10. use azure databricks (spark sql / pyspark) as a data source for grafana.
11. collaborate with data engineers to define optimized datasets and views.
12. understand delta lake tables and analytics-ready data structures.
13. troubleshoot data latency and data quality issues impacting dashboards.

d. azure cloud & monitoring

14. integrate grafana with azure monitor, log analytics, azure sql, synapse, and adls.
15. monitor cloud infrastructure, data pipelines, and application metrics.
16. implement azure best practices for security, authentication, and access control.
17. assist in capacity planning and performance monitoring on azure.

e. collaboration & support

18. work closely with data engineers, devops, sre, and business teams.
19. translate business and operational requirements into meaningful visualizations.
20. participate in dashboard reviews and continuous improvement initiatives.
21. support production issues related to dashboards and alerts.            ",/job/detail/remote-senior-grafana-developer-job-at-aaptatt1773728479,internshala
Data Analyst,junior business analyst,drona pay private limited,mumbai,0,Not Disclosed, 300000 - 400000,Low,pythonsql,2,2 weeks ago,"key responsibilities: 

1. understand requirements to outline pseudocode, algorithms, and test conditions.
2. define & execute test cases covering a range of criteria to ensure high-quality delivery.
3. validate ui adherence to norms.
4. validate data and parameters using sql statements.            ",/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,internshala
Data Analyst,football live performance analyst,ball2data,work from home,1,Fresher, 200000 - 320000,Low,pythondata analyticsstatisticssportstableaudata analysis,4,2 weeks ago,"are you a football analytics professional who performs best under pressure and excels in live environments? ball2data limited, a uk-based sports analytics and education company headquartered in preston, england, is looking for a football live performance analyst to power our real-time broadcasting operation.

critical availability warning: this is a live match role. you must be online, connected, and ready to deliver at the exact moment matches begin — zero tolerance for latency, dropout, or unplanned absence. you must be fully available during uk hours, including evenings ist and all weekends. any connectivity failure during a live match session is grounds for immediate termination.

key responsibilities:

1. monitor and process live football data feeds during matches in real time; compute live kpis, trend indicators, and in-match statistics as directed by ball2data's broadcasting brief; maintain a live analytical dashboard throughout each match, updating metrics event by event.

2. liaise in real time with the live graphics operator to ensure accurate and timely data delivery to broadcast overlays; identify and flag anomalies in live data feeds immediately; prepare pre-match analytical briefings and post-match performance summaries for club partners.

3. work within ball2data's live production workflow, adhering to strict broadcast timing protocols; contribute to improving ball2data's live football analytics methodology between matches; maintain strict confidentiality of all client, club, and broadcast data at all times.            ",/job/detail/remote-football-live-performance-analyst-job-at-ball2data1773723542,internshala
Data Analyst,football analyst - supervisor,ball2data,work from home,1,Fresher, 200000 - 320000,Low,team managementpythondata analyticssportsdata analysis,5,2 weeks ago,"are you an experienced football data analyst ready to lead a team and make a real impact in uk sports analytics? ball2data limited, a uk-based sports analytics and education company headquartered in preston, england, is looking for a football analyst - supervisor to lead our football analytics operation.

availability warning: this role requires full availability on both weekdays and weekends at all times, in line with the uk operational schedule and live match calendar. you must be available during uk hours (including evenings ist and weekend fixtures). 

key responsibilities:

1. lead, mentor, and quality-control a team of 6 football intern analysts; design and oversee the full analytical workflow from tagged data ingestion to final client deliverable; define analytical standards, report templates, and kpis for the team to work with.

2. produce and review high-quality performance reports, dashboards, and visualisations for ball2data's football club partners; liaise with the football tagger supervisor to ensure data quality meets analytical requirements before processing; contribute to ball2data's education programme content and case studies.

3. manage analyst scheduling and deadline adherence across the uk football match calendar; provide structured feedback to intern analysts; escalate performance issues to ball2data management immediately; maintain strict confidentiality of all client, club, and data assets at all times.            ",/job/detail/remote-football-analyst-supervisor-job-at-ball2data1773723494,internshala
Other,football tagger - supervisor,ball2data,work from home,1,Fresher, 200000 - 320000,Low,team managementvideo editingdata analyticsms-excelsportsdata analysis,6,2 weeks ago,"are you passionate about football and sports data analytics? ball2data limited, a uk-based sports analytics and education company headquartered in preston, england, is looking for a football tagger - supervisor to lead our football tagging operation.

availability warning: this role requires full availability on both weekdays and weekends at all times, in line with the uk operational schedule and live match calendar. you must be available during uk hours (including evenings ist and weekend fixtures). unavailability during assigned live sessions is grounds for immediate termination.

key responsibilities:

1. lead, manage, and quality-control a team of 6 football intern taggers across all live and post-match tagging sessions; set and enforce coding standards, quality benchmarks, and tagging protocols for all assigned football matches.

2. oversee accurate real-time and post-match coding of football match events using ball2data's designated platform; conduct regular qa reviews of intern outputs and provide structured, actionable feedback to the team.

3. manage tagger scheduling across the uk football match calendar; liaise directly with the football analyst supervisor to ensure data handover meets analytical requirements; escalate performance or connectivity issues to ball2data management immediately.            ",/job/detail/remote-football-tagger-supervisor-job-at-ball2data1773723072,internshala
Data Analyst,cricket live performance analyst,ball2data,work from home,1,Fresher, 200000 - 300000,Low,pythonstatisticssportscrickettableaudata analysis,3,2 weeks ago,"are you a cricket analytics professional who thrives under pressure and excels in live environments? ball2data limited, a uk-based sports analytics and education company headquartered in preston, england, is looking for a cricket live performance analyst to power our real-time broadcasting operation.

critical availability warning: this is a live match role. you must be online, connected, and ready to deliver at the exact moment matches begin — zero tolerance for latency, dropout, or unplanned absence. you must be fully available during uk hours, including evenings ist and all weekends. any connectivity failure during a live match session is grounds for immediate termination.

key responsibilities:

1. monitor and process live cricket data feeds during matches in real time; compute live kpis, trend indicators, and in-match statistics as directed by ball2data's broadcasting brief; maintain a live analytical dashboard throughout each match, updating metrics ball-by-ball.

2. liaise in real time with the live graphics operator to ensure accurate and timely data delivery to broadcast overlays; identify and flag anomalies in live data feeds immediately; prepare pre-match analytical briefings and post-match performance summaries.

3. work within ball2data's live production workflow, adhering to strict broadcast timing protocols; contribute to improving ball2data's live analytics methodology between matches; maintain strict confidentiality of all client, club, and broadcast data at all times.            ",/job/detail/remote-cricket-live-performance-analyst-job-at-ball2data1773722664,internshala
Data Analyst,cricket data analysis supervisor,ball2data,work from home,1,Fresher, 200000 - 300000,Low,team managementpythonsportscricketdata analysis,4,2 weeks ago,"are you an experienced cricket data analyst ready to lead a team and make a real impact in uk sports analytics? ball2data limited, a uk-based sports analytics and education company headquartered in preston, england, is looking for a cricket analyst - supervisor to lead our analytics operation.

availability warning: this role requires full availability on both weekdays and weekends at all times, in line with the uk operational schedule and live match calendar. you must be available during uk hours (including evenings ist and weekend fixtures).

key responsibilities:

1. lead, mentor, and quality-control a team of 6 cricket intern analysts; design and oversee the full analytical workflow from tagged data ingestion to final client deliverable; define analytical standards, report templates, and kpis for the team.

2. produce and review high-quality performance reports, dashboards, and visualisations for ball2data's cricket club partners; liaise with the tagger supervisor to ensure data quality meets analytical requirements before processing.

3. contribute to ball2data's education programme content and case studies; manage analyst scheduling and deadline adherence across the uk match calendar; provide structured feedback to intern analysts and escalate performance issues to ball2data management immediately.            ",/job/detail/remote-cricket-data-analysis-supervisor-job-at-ball2data1773722139,internshala
