user_id,user_type,country,request_type,model_used,device_type,prompt_length,requests_per_min,toxic_score,jailbreak_score,anomaly_score,failed_requests,session_duration_sec,api_cost_usd,misuse_label
user_77323,free,Canada,text_generation,code_llm,mobile,1791,97.68,0.518,0.171,0.258,13,124,4.673,1
user_42620,bot,Singapore,image_generation,gpt_like,mobile,2098,43.96,0.947,0.919,0.506,20,7005,4.928,1
user_77872,free,USA,code_generation,code_llm,mobile,1006,117.93,0.67,0.623,0.267,4,5593,6.651,1
user_41139,free,India,text_generation,gpt_like,mobile,383,103.9,0.64,0.431,0.512,1,4122,5.258,1
user_54137,free,Singapore,image_generation,code_llm,api,1317,28.4,0.337,0.998,0.262,27,2675,4.865,1
user_35037,premium,UK,code_generation,code_llm,api,1914,96.21,0.364,0.417,0.07,0,3455,5.969,1
user_79434,free,Australia,code_generation,code_llm,web,846,9.17,0.579,0.066,0.067,21,5512,4.423,0
user_18678,free,Germany,image_generation,vision_model,mobile,840,77.97,0.344,0.924,0.696,0,6947,1.528,1
user_44051,bot,India,code_generation,vision_model,mobile,2129,18.36,0.065,0.705,0.977,10,1580,3.784,1
user_19141,free,Germany,code_generation,code_llm,web,290,62.85,0.729,0.236,0.119,29,5128,2.629,1
user_76692,bot,USA,image_generation,vision_model,web,2913,24.53,0.093,0.927,0.253,16,4811,2.424,1
user_25160,free,India,code_generation,vision_model,web,2058,122.97,0.433,0.073,0.714,2,8880,1.628,1
user_13835,premium,India,text_generation,vision_model,mobile,3624,11.63,0.505,0.905,0.916,28,2671,3.593,1
user_10383,free,Germany,image_generation,code_llm,mobile,2927,71.69,0.982,0.953,0.596,2,2612,6.73,1
user_25564,premium,Singapore,code_generation,vision_model,mobile,2926,51.44,0.227,0.509,0.988,10,955,5.597,1
user_39484,premium,USA,code_generation,code_llm,mobile,1047,56.81,0.831,0.386,0.972,22,6887,1.911,1
user_52556,internal,Singapore,image_generation,gpt_like,web,502,104.41,0.796,0.179,0.061,3,5190,0.341,1
user_29280,free,UK,code_generation,code_llm,web,2619,14.82,0.929,0.472,0.475,12,1704,4.234,1
user_43782,free,India,image_generation,gpt_like,web,1640,21.41,0.069,0.86,0.859,13,7169,0.927,1
user_51423,free,Australia,image_generation,code_llm,api,4437,59.27,0.234,0.693,0.18,26,6412,4.343,1
user_27295,free,India,image_generation,vision_model,api,817,75.97,0.146,0.3,0.487,10,3756,0.385,1
user_58596,bot,Canada,image_generation,vision_model,web,1262,134.19,0.074,0.458,0.299,14,3394,1.2,1
user_76287,premium,India,image_generation,vision_model,web,2601,7.59,0.9,0.672,0.209,9,6478,6.463,1
user_57953,free,Singapore,image_generation,code_llm,web,63,120.57,0.615,0.697,0.985,6,6052,5.807,1
user_75464,internal,Australia,image_generation,code_llm,api,904,43.61,0.545,0.011,0.495,4,7690,1.533,0
user_72678,free,Singapore,text_generation,gpt_like,web,1374,6.96,0.608,0.645,0.163,3,4914,2.698,0
user_46955,premium,Canada,image_generation,code_llm,mobile,4495,113.4,0.622,0.736,0.078,15,626,2.627,1
user_52080,bot,USA,code_generation,gpt_like,mobile,3111,14.6,0.94,0.626,0.175,10,4662,0.968,1
user_65930,premium,Singapore,text_generation,vision_model,web,1529,51.01,0.053,0.38,0.934,29,3803,2.65,1
user_23650,free,USA,image_generation,code_llm,mobile,1323,62.74,0.031,0.322,0.925,19,1356,2.771,1
user_24212,bot,Singapore,code_generation,code_llm,mobile,2937,7.06,0.073,0.163,0.103,4,128,0.766,0
user_68726,free,India,text_generation,vision_model,mobile,1013,29.62,0.099,0.804,0.547,20,7522,0.937,1
user_67538,bot,India,code_generation,vision_model,web,1477,14.69,0.22,0.418,0.638,15,8286,6.783,0
user_43882,free,USA,text_generation,gpt_like,api,628,40.17,0.17,0.264,0.946,22,3128,0.293,1
user_24038,premium,Germany,text_generation,gpt_like,mobile,2654,117.37,0.598,0.089,0.908,10,7168,5.726,1
user_74630,bot,UK,image_generation,code_llm,web,1555,77.92,0.053,0.651,0.377,23,90,4.1,1
user_23451,free,USA,code_generation,code_llm,mobile,3965,70.3,0.166,0.552,0.196,19,5238,5.67,1
user_70288,free,Germany,image_generation,gpt_like,mobile,3894,70.63,0.527,0.678,0.205,9,4419,6.122,1
user_56352,premium,UK,code_generation,gpt_like,web,218,20.72,0.582,0.096,0.648,15,8896,3.72,0
user_21521,bot,USA,code_generation,code_llm,mobile,3568,8.09,0.589,0.233,0.921,12,2636,4.787,1
user_65308,free,UK,text_generation,vision_model,web,1953,4.2,0.344,0.301,0.844,14,609,3.414,1
user_53854,bot,UK,code_generation,gpt_like,mobile,3292,43.52,0.761,0.428,0.343,5,7136,3.549,1
user_38206,internal,Singapore,code_generation,code_llm,web,295,67.46,0.679,0.38,0.478,16,4002,6.407,0
user_70963,premium,Singapore,code_generation,vision_model,api,3369,138.87,0.855,0.46,0.221,11,1849,5.942,1
user_6556,free,Canada,code_generation,vision_model,web,2850,73.38,0.326,0.356,0.152,14,4971,3.593,1
user_19772,free,Canada,code_generation,vision_model,api,1925,2.11,0.197,0.768,0.317,21,5771,3.757,1
user_29063,premium,India,text_generation,gpt_like,mobile,4301,73.07,0.494,0.587,0.014,19,5409,5.48,1
user_23709,bot,USA,code_generation,code_llm,mobile,3980,95.55,0.739,0.976,0.375,24,4504,4.646,1
user_51852,free,India,text_generation,gpt_like,mobile,2375,89.92,0.658,0.425,0.604,2,8427,2.324,1
user_6383,free,Germany,text_generation,gpt_like,api,1963,125.8,0.391,0.98,0.792,20,8314,0.804,1
user_2233,free,Canada,code_generation,gpt_like,api,2423,108.85,0.768,0.132,0.004,9,5464,4.507,1
user_28146,free,USA,image_generation,vision_model,api,297,49.18,0.999,0.79,0.05,12,5225,1.394,1
user_52450,free,India,image_generation,code_llm,api,1455,130.63,0.087,0.222,0.849,15,6290,3.058,1
user_25713,free,Germany,text_generation,code_llm,mobile,2606,14.8,0.314,0.528,0.855,11,5085,3.502,1
user_44758,premium,Germany,code_generation,gpt_like,web,1068,86.84,0.207,0.835,0.388,9,771,1.229,1
user_69466,premium,Canada,image_generation,vision_model,api,2629,136.42,0.193,0.512,0.911,1,1225,5.879,1
user_78648,free,UK,image_generation,vision_model,web,4123,135.44,0.118,0.224,0.388,17,8323,3.92,1
user_13374,premium,USA,code_generation,vision_model,mobile,2021,32.82,0.405,0.342,0.195,14,3965,1.349,0
user_51985,premium,UK,image_generation,code_llm,web,1934,61.74,0.367,0.118,0.064,22,3918,5.172,0
user_32012,free,India,text_generation,vision_model,mobile,1053,90.72,0.945,0.959,0.831,17,1876,0.214,1
user_25783,premium,UK,code_generation,gpt_like,mobile,2688,90.47,0.186,0.687,0.289,16,6084,0.139,1
user_16563,premium,Australia,code_generation,code_llm,web,4034,89.33,0.575,0.524,0.005,20,3379,5.595,1
user_44193,free,Australia,text_generation,vision_model,web,3708,110.98,0.101,0.246,0.229,11,810,5.615,1
user_11042,free,Singapore,code_generation,vision_model,api,2108,27.71,0.813,0.458,0.589,17,4444,6.42,1
user_60031,free,UK,image_generation,gpt_like,api,2537,32.36,0.787,0.312,0.192,21,6783,0.473,1
user_44163,free,Australia,text_generation,gpt_like,api,4484,98.3,0.429,0.624,0.848,16,474,0.359,1
user_3208,free,Singapore,text_generation,code_llm,api,24,59.83,0.727,0.673,0.825,27,5623,2.296,1
user_14796,free,India,image_generation,vision_model,mobile,3689,73.96,0.869,0.61,0.113,5,5631,6.051,1
user_23670,free,India,code_generation,vision_model,api,2305,74.08,0.453,0.037,0.091,10,1669,1.165,1
user_25320,internal,Canada,text_generation,gpt_like,api,2041,99.35,0.865,0.25,0.578,0,4418,5.173,1
user_21074,free,Australia,text_generation,code_llm,mobile,1417,128.6,0.231,0.172,0.555,23,4809,4.777,1
user_28931,premium,India,image_generation,code_llm,mobile,877,21.18,0.445,0.385,0.104,19,1237,1.477,0
user_19993,premium,UK,text_generation,gpt_like,web,1185,15.5,0.745,0.573,0.907,24,3555,3.644,1
user_56330,free,India,code_generation,vision_model,mobile,681,88.17,0.153,0.399,0.607,6,8498,1.457,1
user_33991,bot,India,image_generation,vision_model,web,2975,70.05,0.274,0.368,0.643,27,6424,4.06,1
user_16003,free,Singapore,code_generation,gpt_like,api,3175,91.99,0.358,0.937,0.939,20,4741,3.104,1
user_48496,free,Australia,image_generation,code_llm,api,1755,100.1,0.975,0.564,0.387,27,3451,0.416,1
user_15743,free,USA,code_generation,code_llm,api,2967,106.33,0.636,0.532,0.041,9,5288,1.883,1
user_53926,premium,Canada,text_generation,gpt_like,api,3394,61.96,0.56,0.52,0.031,23,6621,5.504,0
user_25300,free,Canada,text_generation,gpt_like,mobile,3884,115.46,0.789,0.619,0.196,11,7531,5.916,1
user_72509,free,Canada,code_generation,vision_model,mobile,981,48.03,0.229,0.215,0.074,14,8623,6.482,0
user_10703,free,Germany,code_generation,vision_model,api,4032,38.68,0.879,0.396,0.45,6,8520,3.959,1
user_66014,bot,UK,code_generation,code_llm,api,1684,87.83,0.7,0.943,0.415,11,1961,2.852,1
user_41431,free,USA,image_generation,vision_model,web,2815,86.29,0.734,0.926,0.419,10,4335,3.266,1
user_57436,free,UK,image_generation,code_llm,api,1280,132.01,0.65,0.699,0.751,14,7386,4.921,1
user_22845,internal,Australia,code_generation,gpt_like,api,2430,81.7,0.436,0.654,0.117,24,8348,3.724,1
user_36055,premium,USA,image_generation,gpt_like,web,3590,3.03,0.14,0.837,0.874,28,5946,4.115,1
user_9878,free,Germany,text_generation,vision_model,mobile,3859,136.24,0.861,0.33,0.485,22,581,3.087,1
user_11209,free,Australia,image_generation,vision_model,api,4131,108.63,0.301,0.783,0.132,5,5763,0.416,1
user_59812,bot,Canada,image_generation,code_llm,api,2875,110.5,0.851,0.432,0.735,7,599,4.319,1
user_12004,free,UK,text_generation,code_llm,web,2964,13.67,0.39,0.641,0.469,0,3878,4.947,0
user_34390,free,India,text_generation,gpt_like,web,284,48.66,0.481,0.839,0.671,15,5841,2.303,1
user_29400,free,Australia,text_generation,vision_model,web,2295,47.49,0.324,0.463,0.969,21,2309,4.66,1
user_77511,free,USA,text_generation,gpt_like,web,3745,122.83,0.738,0.046,0.599,28,1381,5.743,1
user_79121,bot,India,image_generation,code_llm,web,4381,99.43,0.222,0.528,0.041,15,7996,3.317,1
user_7876,internal,Singapore,code_generation,code_llm,mobile,4237,138.69,0.139,0.422,0.96,23,2068,4.916,1
user_49104,free,Germany,text_generation,code_llm,mobile,4129,21.65,0.849,0.165,0.773,16,494,0.46,1
user_44906,free,USA,image_generation,code_llm,api,2988,133.36,0.516,0.638,0.919,17,8469,0.771,1
user_21378,free,Australia,code_generation,code_llm,web,4296,37.21,0.344,0.337,0.352,21,4142,0.498,0
user_27568,free,USA,image_generation,code_llm,mobile,2338,42.91,0.594,0.765,0.742,9,2324,0.223,1
user_31796,premium,Canada,image_generation,code_llm,api,3019,93.06,0.472,0.233,0.825,0,616,3.921,1
user_65350,premium,Canada,image_generation,code_llm,web,3090,24.26,0.387,0.633,0.982,29,4995,0.243,1
user_56061,free,UK,text_generation,vision_model,api,3082,91.71,0.434,0.722,0.557,19,8457,4.634,1
user_76597,free,UK,code_generation,gpt_like,mobile,841,82.97,0.355,0.552,0.249,15,5280,2.928,1
user_25401,premium,UK,text_generation,vision_model,web,1980,53.2,0.676,0.365,0.974,27,1877,3.392,1
user_4810,free,Germany,image_generation,gpt_like,mobile,2150,66.1,0.01,0.866,0.618,8,1744,2.318,1
user_5902,bot,UK,image_generation,code_llm,web,2946,130.26,0.407,0.121,0.003,5,8418,6.189,1
user_63734,bot,Singapore,code_generation,vision_model,api,413,81.29,0.479,0.823,0.089,22,5625,6.73,1
user_50723,free,Germany,code_generation,vision_model,mobile,1635,73.23,0.143,0.997,0.741,23,490,4.6,1
user_61599,free,UK,code_generation,gpt_like,api,4436,129.58,0.171,0.594,0.464,4,4642,4.83,1
user_77199,free,Canada,text_generation,code_llm,api,2818,73.09,0.178,0.55,0.153,22,6977,6.676,1
user_14967,free,Singapore,image_generation,code_llm,web,3613,72.46,0.097,0.814,0.245,5,5365,5.871,1
user_41536,premium,USA,image_generation,vision_model,api,1090,67.89,0.12,0.174,0.546,15,654,0.737,0
user_6135,premium,India,text_generation,gpt_like,web,1618,11.08,0.952,0.783,0.889,7,8061,1.631,1
user_63365,premium,Australia,image_generation,gpt_like,mobile,1959,100.51,0.212,0.73,0.561,26,8377,5.853,1
user_72979,free,Germany,image_generation,code_llm,api,936,90.39,0.956,0.801,0.795,7,2976,1.013,1
user_22925,free,Canada,text_generation,gpt_like,mobile,2664,85.86,0.847,0.957,0.869,26,5032,2.985,1
user_31993,premium,Singapore,image_generation,vision_model,mobile,3808,64.01,0.707,0.338,0.982,24,3514,0.62,1
user_66796,free,Germany,code_generation,gpt_like,api,3303,54.46,0.375,0.903,0.48,25,1570,6.789,1
user_75663,free,Germany,image_generation,vision_model,web,4105,133.26,0.51,0.215,0.3,0,5902,2.516,1
user_50483,premium,India,text_generation,vision_model,api,2032,72.85,0.174,0.271,0.689,23,8720,3.038,1
user_25843,bot,USA,code_generation,vision_model,api,3227,126.52,0.332,0.2,0.589,0,1636,6.331,1
user_38879,free,Canada,text_generation,code_llm,api,2391,67.51,0.99,0.832,0.579,4,6741,0.812,1
user_69457,premium,UK,code_generation,gpt_like,mobile,1444,65.63,0.027,0.573,0.438,18,1442,1.63,0
user_4888,free,Canada,code_generation,vision_model,web,1248,38.89,0.216,0.033,0.362,14,4722,2.453,0
user_66713,free,Singapore,text_generation,vision_model,mobile,3449,2.66,0.752,0.728,0.672,9,5653,0.725,1
user_52151,premium,India,code_generation,code_llm,api,300,85.51,0.114,0.723,0.164,29,5545,4.027,1
user_8426,bot,Germany,code_generation,gpt_like,web,684,139.68,0.014,0.713,0.851,6,5009,5.969,1
user_71031,bot,Canada,image_generation,gpt_like,api,1221,133.14,0.953,0.898,0.571,7,4546,6.119,1
user_11047,free,Singapore,image_generation,vision_model,web,2245,109.21,0.489,0.68,0.46,23,7256,6.682,1
user_19039,free,Canada,code_generation,vision_model,api,4052,50.04,0.94,0.212,0.888,19,2330,3.326,1
user_62096,free,India,text_generation,vision_model,mobile,385,27.56,0.058,0.215,0.432,21,8707,1.106,0
user_36301,free,India,image_generation,vision_model,api,3404,61.01,0.162,0.264,0.965,16,7335,6.52,1
user_49707,free,USA,code_generation,vision_model,mobile,1531,25.15,0.489,0.913,0.296,18,6224,0.156,1
user_46114,premium,Canada,image_generation,vision_model,mobile,1337,128.61,0.304,0.63,0.608,12,8872,5.272,1
user_22366,free,USA,text_generation,gpt_like,mobile,2760,45.75,0.437,0.164,0.073,21,7091,5.793,0
user_21745,free,Singapore,image_generation,code_llm,web,4467,100.88,0.493,0.91,0.858,8,5246,1.051,1
user_44082,free,Germany,text_generation,gpt_like,api,1972,110.53,0.908,0.95,0.555,21,5648,1.873,1
user_56270,bot,Australia,image_generation,vision_model,api,193,52.14,0.055,0.49,0.078,2,233,6.564,1
user_12353,free,Germany,image_generation,gpt_like,api,19,8.9,0.237,0.52,0.34,1,4094,6.007,0
user_26080,free,Germany,text_generation,code_llm,mobile,1646,12.44,0.383,0.649,0.205,6,8772,5.772,0
user_19788,bot,Australia,image_generation,code_llm,mobile,900,40.57,0.223,0.325,0.413,7,2825,3.081,1
user_35969,free,Germany,code_generation,code_llm,web,2588,51.29,0.192,0.854,0.304,21,6309,0.261,1
user_56171,bot,UK,image_generation,code_llm,web,753,94.76,0.726,0.341,0.811,15,582,3.921,1
user_61633,free,Germany,code_generation,vision_model,mobile,696,99.29,0.192,0.482,0.581,20,6986,0.144,1
user_6659,free,Germany,image_generation,vision_model,web,1466,2.14,0.659,0.78,0.676,23,2390,0.54,1
user_34921,free,Germany,code_generation,code_llm,mobile,1030,129.02,0.64,0.633,0.386,10,6533,2.415,1
user_5161,bot,Singapore,text_generation,code_llm,web,455,21.15,0.828,0.065,0.088,13,4391,3.624,1
user_16503,free,India,image_generation,gpt_like,api,608,90.17,0.54,0.499,0.346,21,4280,4.502,1
user_25982,premium,Canada,text_generation,code_llm,mobile,590,90.46,0.534,0.454,0.559,16,5838,4.544,1
user_70014,bot,UK,text_generation,gpt_like,api,1053,67.97,0.094,0.056,0.232,29,4568,6.865,1
user_56910,free,India,code_generation,code_llm,api,3672,98.19,0.926,0.385,0.395,18,8506,4.145,1
user_53632,free,UK,code_generation,gpt_like,mobile,401,81.82,0.219,0.618,0.265,20,3047,4.353,1
user_28172,free,Germany,text_generation,vision_model,mobile,4489,20.37,0.983,0.864,0.301,2,5226,0.822,1
user_76696,free,India,code_generation,vision_model,mobile,3819,121.03,0.068,0.235,0.512,10,278,6.092,1
user_58804,premium,UK,image_generation,vision_model,web,469,129.48,0.032,0.583,0.904,2,7313,2.628,1
user_78467,free,India,code_generation,vision_model,api,2900,133.63,0.951,0.132,0.626,24,8214,1.016,1
user_64107,free,USA,image_generation,gpt_like,web,4414,53.31,0.488,0.491,0.026,12,805,6.775,0
user_59926,premium,Germany,code_generation,vision_model,mobile,346,52.05,0.369,0.573,0.48,5,569,0.471,0
user_74137,free,UK,image_generation,vision_model,web,330,44.95,0.415,0.13,0.707,7,1970,2.45,0
user_70053,internal,UK,image_generation,gpt_like,web,1082,9.49,0.779,0.061,0.646,13,4737,2.859,1
user_71338,free,India,text_generation,vision_model,mobile,4437,122.51,0.414,0.043,0.42,3,4734,2.042,1
user_74386,premium,India,text_generation,vision_model,web,1739,1.77,0.28,0.353,0.284,24,4293,6.012,0
user_7744,bot,UK,code_generation,gpt_like,api,365,87.89,0.088,0.712,0.291,25,1830,2.116,1
user_72784,premium,Canada,image_generation,gpt_like,mobile,431,83.27,0.439,0.847,0.735,21,2209,3.371,1
user_61083,premium,India,text_generation,vision_model,web,309,80.83,0.803,0.79,0.997,6,1719,4.747,1
user_51123,free,UK,text_generation,vision_model,web,1836,97.56,0.659,0.021,0.843,28,7735,2.156,1
user_73672,premium,India,image_generation,vision_model,api,2032,34.55,0.504,0.255,0.289,7,1386,5.707,0
user_43285,free,India,text_generation,code_llm,mobile,2978,29.21,0.831,0.193,0.733,18,5577,4.969,1
user_58496,free,Australia,text_generation,code_llm,api,3278,34.4,0.91,0.99,0.696,5,135,5.335,1
user_78336,premium,Australia,code_generation,code_llm,mobile,3953,119.01,0.204,0.604,0.085,25,7361,0.824,1
user_63396,premium,Australia,text_generation,gpt_like,api,3697,39.72,0.171,0.004,0.472,17,7265,3.197,0
user_53238,free,Australia,text_generation,code_llm,api,3598,7.19,0.378,0.324,0.096,4,6752,0.77,0
user_14417,free,USA,image_generation,code_llm,api,1010,0.85,0.474,0.848,0.398,26,1520,5.068,1
user_46129,free,Germany,code_generation,vision_model,api,4118,31.49,0.298,0.071,0.364,20,7196,1.445,0
user_38719,premium,India,text_generation,vision_model,web,1979,73.45,0.102,0.773,0.949,16,2201,4.97,1
user_5002,bot,Australia,code_generation,gpt_like,api,2851,22.95,0.318,0.242,0.862,11,1197,2.929,1
user_3332,free,UK,code_generation,gpt_like,api,1829,28.88,0.881,0.603,0.809,17,845,4.609,1
user_27149,free,UK,code_generation,gpt_like,api,3486,52.04,0.281,0.054,0.611,6,2927,6.968,0
user_70911,bot,UK,text_generation,vision_model,mobile,2511,18.06,0.783,0.601,0.982,27,4733,6.189,1
user_59923,internal,Australia,image_generation,gpt_like,api,3646,46.67,0.3,0.734,0.81,23,2635,6.566,1
user_18352,free,UK,text_generation,gpt_like,mobile,3169,20.35,0.495,0.877,0.198,19,2912,1.921,1
user_62081,free,USA,code_generation,vision_model,api,48,68.64,0.64,0.482,0.142,2,5490,5.027,0
user_64778,free,Australia,image_generation,gpt_like,web,331,75.74,0.472,0.406,0.859,24,5338,4.332,1
user_68569,free,Singapore,text_generation,vision_model,mobile,3255,36.59,0.952,0.711,0.006,20,3054,0.372,1
user_22645,free,Canada,code_generation,code_llm,mobile,2219,59.87,0.679,0.489,0.112,1,3494,2.755,0
user_26343,premium,Canada,image_generation,code_llm,mobile,2756,43.09,0.211,0.382,0.781,20,8828,3.301,1
user_1645,free,India,code_generation,gpt_like,mobile,721,11.6,0.044,0.437,0.468,19,7833,2.01,0
user_32775,free,Canada,text_generation,gpt_like,mobile,335,40.47,0.972,0.256,0.685,9,8176,2.91,1
user_5121,free,India,text_generation,code_llm,api,4303,124.02,0.129,0.789,0.378,4,5103,2.667,1
user_64742,premium,UK,image_generation,code_llm,api,4304,85.19,0.867,0.868,0.744,24,8771,6.159,1
user_74648,free,Singapore,code_generation,code_llm,api,4000,102.64,0.16,0.643,0.191,19,703,3.591,1
user_10271,bot,Singapore,image_generation,code_llm,web,1493,44.66,0.681,0.26,0.7,19,5100,6.146,1
user_40204,internal,India,image_generation,code_llm,mobile,3396,122.11,0.554,0.263,0.614,12,1852,3.263,1
user_26212,bot,UK,code_generation,vision_model,api,4444,121.07,0.645,0.328,0.136,15,7389,3.338,1
user_76828,free,India,image_generation,gpt_like,web,51,30.1,0.171,0.722,0.436,13,1837,6.197,1
user_24481,free,Singapore,code_generation,vision_model,web,1373,5.79,0.417,0.028,0.013,13,4151,2.686,0
user_67404,premium,Singapore,code_generation,vision_model,api,3120,79.11,0.937,0.885,0.174,1,8327,0.806,1
user_39682,premium,UK,code_generation,gpt_like,mobile,2033,61.62,0.47,0.57,0.853,20,2170,0.699,1
user_62441,free,USA,code_generation,gpt_like,api,3425,31.88,0.216,0.138,0.924,14,5744,2.198,1
user_74749,free,Australia,code_generation,code_llm,api,972,46.47,0.541,0.537,0.661,9,3635,4.273,0
user_60969,free,UK,text_generation,code_llm,api,4251,127.85,0.363,0.606,0.053,13,2347,1.112,1
user_65747,free,UK,code_generation,vision_model,web,3699,64.05,0.191,0.202,0.989,10,3079,2.078,1
user_2903,premium,Germany,image_generation,code_llm,api,2892,32.59,0.354,0.172,0.812,5,4616,5.659,1
user_36344,free,Germany,image_generation,gpt_like,api,2755,128.64,0.927,0.723,0.552,19,722,1.108,1
user_19319,free,USA,code_generation,gpt_like,web,4340,107.96,0.488,0.77,0.478,15,7357,3.98,1
user_22441,free,Canada,image_generation,gpt_like,mobile,3194,60.15,0.347,0.719,0.994,12,2971,1.707,1
user_77178,free,Germany,image_generation,vision_model,api,2346,110.19,0.917,0.626,0.65,4,4133,2.911,1
user_78312,free,Canada,code_generation,vision_model,api,261,128.96,0.61,0.863,0.293,0,34,1.472,1
user_25862,premium,India,code_generation,vision_model,api,1120,70.7,0.033,0.463,0.991,9,8145,1.493,1
user_32103,bot,India,image_generation,vision_model,mobile,1969,102.5,0.437,0.617,0.75,0,1145,0.293,1
user_12510,premium,Germany,text_generation,gpt_like,mobile,3982,97.27,0.805,0.183,0.602,15,1825,3.603,1
user_35691,free,Australia,code_generation,gpt_like,api,1274,51.31,0.239,0.344,0.072,4,553,5.253,0
user_79938,premium,UK,text_generation,code_llm,web,3394,125.85,0.861,0.577,0.774,18,27,5.575,1
user_72991,premium,Australia,code_generation,gpt_like,web,3784,86.4,0.187,0.04,0.464,11,2471,3.809,1
user_41372,bot,India,image_generation,vision_model,api,4473,18.42,0.312,0.642,0.832,3,3699,2.424,1
user_69309,internal,Canada,text_generation,code_llm,mobile,903,138.97,0.605,0.953,0.046,16,347,6.771,1
user_44050,premium,Canada,text_generation,gpt_like,web,3315,26.48,0.509,0.746,0.624,25,464,5.783,1
user_28377,premium,USA,code_generation,vision_model,api,3602,65.22,0.544,0.308,0.096,7,4920,5.448,0
user_59336,free,Singapore,text_generation,vision_model,mobile,456,111.47,0.1,0.723,0.384,12,3645,3.908,1
user_76312,free,Australia,image_generation,vision_model,api,1240,48.91,0.097,0.79,0.104,29,7008,2.961,1
user_59219,free,UK,text_generation,gpt_like,mobile,2203,87.37,0.769,0.62,0.647,5,2241,5.83,1
user_60229,premium,Australia,image_generation,code_llm,mobile,963,24.73,0.781,0.32,0.71,1,1285,2.626,1
user_66679,premium,UK,image_generation,gpt_like,web,171,62.92,0.775,0.32,0.622,21,3333,0.565,1
user_57648,free,Singapore,image_generation,code_llm,web,4263,87.66,0.207,0.062,0.994,2,8214,4.499,1
user_26698,free,Canada,image_generation,code_llm,web,3670,101.22,0.491,0.551,0.58,12,8938,6.613,1
user_18083,premium,Singapore,code_generation,gpt_like,mobile,2711,28.56,0.711,0.038,0.823,14,7307,6.856,1
user_46169,free,USA,image_generation,vision_model,mobile,3708,49.8,0.818,0.926,0.715,13,4438,3.022,1
user_23702,premium,Germany,text_generation,code_llm,api,1461,2.37,0.496,0.476,0.475,0,8842,1.452,0
user_42022,bot,Germany,text_generation,code_llm,api,2173,98.13,0.942,0.883,0.251,25,8883,1.038,1
user_67543,free,USA,text_generation,code_llm,mobile,955,116.49,0.442,0.184,0.171,12,7767,0.337,1
user_76710,free,Germany,text_generation,gpt_like,api,119,6.7,0.429,0.497,0.017,10,7304,4.114,0
user_8203,bot,Australia,image_generation,vision_model,web,1846,49.32,0.323,0.146,0.511,19,1229,4.159,1
user_60772,bot,UK,image_generation,gpt_like,api,3447,60.01,0.046,0.427,0.849,28,16,4.312,1
user_37492,free,USA,image_generation,gpt_like,api,3349,125.36,0.503,0.442,0.537,27,2383,3.985,1
user_59636,free,Singapore,image_generation,code_llm,api,1101,43.31,0.992,0.911,0.042,3,5086,4.174,1
user_56639,free,Singapore,text_generation,code_llm,web,912,67.13,0.438,0.572,0.987,4,5100,3.956,1
user_41685,free,Australia,image_generation,gpt_like,api,2453,46.34,0.767,0.408,0.885,1,3287,5.149,1
user_16739,free,Germany,image_generation,code_llm,api,1413,57.48,0.421,0.73,0.26,11,656,1.255,1
user_30917,premium,Australia,image_generation,code_llm,web,3973,134.73,0.992,0.486,0.226,18,3589,2.265,1
user_21704,free,Singapore,code_generation,vision_model,api,435,83.41,0.205,0.463,0.373,20,220,2.985,1
user_59521,bot,USA,text_generation,vision_model,api,781,10.85,0.071,0.709,0.089,16,8009,4.902,1
user_48383,bot,India,code_generation,code_llm,web,2439,124.05,0.752,0.67,0.33,6,8383,2.815,1
user_73742,free,India,image_generation,code_llm,web,2748,99.93,0.528,0.275,0.434,0,4979,2.957,1
user_25307,premium,India,code_generation,gpt_like,mobile,1646,19.98,0.515,0.599,0.628,8,1338,2.156,0
user_5716,free,Australia,code_generation,gpt_like,mobile,678,116.67,0.198,0.073,0.132,11,7901,6.795,1
user_57270,free,Canada,image_generation,gpt_like,api,2898,86.42,0.513,0.608,0.6,11,5482,6.642,1
user_19920,free,Germany,text_generation,vision_model,web,3832,51.76,0.148,0.298,0.988,13,1938,3.664,1
user_38871,bot,Germany,image_generation,gpt_like,api,603,93.41,0.127,0.799,0.467,19,8776,6.591,1
user_43928,premium,India,text_generation,vision_model,mobile,3809,70.05,0.969,0.827,0.489,20,2808,3.41,1
user_14587,premium,Singapore,image_generation,vision_model,web,861,33.45,0.18,0.298,0.496,20,1755,6.275,0
user_2195,premium,Canada,code_generation,gpt_like,api,3306,82.16,0.07,0.845,0.088,7,3706,0.592,1
user_26083,premium,UK,code_generation,vision_model,api,1801,68.25,0.404,0.809,0.829,7,801,5.674,1
user_23438,free,Germany,text_generation,vision_model,mobile,2010,65.51,0.902,0.398,0.982,20,8810,6.471,1
user_21009,premium,UK,image_generation,code_llm,mobile,747,76.42,0.764,0.358,0.683,7,8132,5.006,1
user_14696,bot,Germany,text_generation,gpt_like,mobile,2701,62.32,0.753,0.528,0.027,29,5995,3.04,1
user_8564,bot,Singapore,code_generation,gpt_like,mobile,1894,34.14,0.276,0.774,0.917,21,6830,5.225,1
user_4637,premium,Germany,image_generation,code_llm,web,1501,124.21,0.037,0.499,0.398,26,7622,6.677,1
user_63759,premium,UK,code_generation,gpt_like,api,1083,107.68,0.338,0.505,0.133,4,7357,5.028,1
